% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.137316489e+04 +2.137316489e+04 +2.152231489e+04 +2.152231489e+04 +4.9315e-01 +3.6689e-01 +4.1276e-01 +8.6423e-01 -2.8537e-02 +4.0637e-01 -5.6960e-01 -4.6042e-01 +6.5332e-01 +5.9947e-01 -3.9933e-01 +1.0245e-01 +6.5664e-01 -3.8532e-01 -1.0182e-01 -2.2136e-01 -2.9962e-02 -1.5500e-01 -4.6590e-01 +2.3673e-01
3 +1.361969338e+04 +1.361969338e+04 +1.376884338e+04 +1.376884338e+04 -1.9106e-01 -1.7907e-01 -1.4484e-01 +9.4594e-01 -7.3784e-01 +1.5389e-01 -7.7577e-02 -1.7288e-01 +1.5855e-01 +1.8176e-02 -1.9321e-01 +2.6515e-01 +3.6574e-02 -1.8817e-01 -2.7388e-01 -2.8340e-01 -4.8110e-01 -3.2816e-01 -2.5965e-01 -2.6849e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.127436590e+05 +1.127436590e+05 +1.117436590e+05 +1.117436590e+05 +4.6156e-01 +1.2832e-01 -3.8956e-01 +3.1052e-01 -3.8682e-02 +1.5807e-01 +1.6992e-01 -3.0324e-02 +5.7868e-01 -2.5535e-01 +2.1562e-01 +3.4768e-01 -1.4305e-01 +2.6530e-01 -4.1733e-01 -6.1092e-01 +5.9499e-02 +4.7577e-01 +3.3976e-01 +8.9781e-02
2 +8.163238455e+04 +8.163238455e+04 +8.063238455e+04 +8.063238455e+04 -2.6102e-02 +3.3959e-02 -3.3252e-01 +2.3564e-01 +2.0611e-01 -5.1939e-02 +4.6943e-01 -5.3385e-01 +1.8216e-01 +3.1116e-01 -5.3658e-01 +2.6254e-02 +2.7256e-01 -8.5376e-02 +1.7540e-01 +3.1418e-02 +4.0427e-01 +1.4187e-02 +8.1393e-03 +3.6000e-01
5 +5.637166377e+04 +5.637166377e+04 +5.537166377e+04 +5.537166377e+04 -3.6134e-01 -4.9083e-01 -2.6706e-01 +5.1357e-01 -1.1309e-03 +1.2004e-01 -4.6897e-01 +1.4560e-02 +1.5072e-01 +5.5668e-01 +6.9134e-01 +3.8431e-01 -1.1139e-01 -8.9531e-01 -5.7620e-01 +1.9935e-01 +5.1468e-01 -3.3109e-01 -3.6112e-02 +9.2679e-02
% function evaluation | noise-free fitness - Fopt (9.862000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.835489373e+04 +8.835489373e+04 +8.845351373e+04 +8.845351373e+04 -3.7218e-01 -2.5668e-01 -1.4268e-01 -9.6919e-02 +4.7012e-02 -4.4126e-01 +5.0918e-01 +2.8193e-01 -2.9899e-01 -5.2672e-01 -3.7921e-02 +4.4907e-01 +7.7665e-01 -2.5777e-01 +3.6215e-01 +3.4490e-02 -1.9189e-02 -2.1513e-01 -6.0461e-01 +1.8058e-02
25 +6.044646348e+04 +6.044646348e+04 +6.054508348e+04 +6.054508348e+04 +3.8229e-01 -1.3540e-02 -4.9012e-01 -2.6718e-01 +3.5971e-01 -6.6080e-01 +3.9788e-01 -2.4428e-01 -2.9324e-01 -4.6040e-02 -2.5649e-01 -2.1381e-01 -1.0595e-01 -2.1587e-01 -4.3059e-01 -5.9442e-01 +3.0213e-01 +3.2353e-01 -2.3858e-01 -8.1183e-01
% function evaluation | noise-free fitness - Fopt (-4.715000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.494203683e+04 +9.494203683e+04 +9.489488683e+04 +9.489488683e+04 -3.3859e-01 +5.7309e-01 -1.3264e-01 +6.8996e-02 -6.0011e-01 +1.8948e-01 +1.1999e-01 -4.3472e-01 +1.9671e-01 +7.6733e-01 -1.4799e-01 +4.9592e-01 +2.6082e-01 -1.1477e-02 -4.7199e-01 -6.2374e-01 -7.8162e-01 +1.4920e-01 +2.2094e-01 +6.9863e-02
11 +5.840731658e+04 +5.840731658e+04 +5.836016658e+04 +5.836016658e+04 -2.4683e-01 +3.1494e-01 +2.8319e-01 -3.8615e-01 +3.4662e-01 -3.0650e-01 -2.4594e-01 -1.4837e-01 -4.1207e-01 -4.8358e-01 -3.3683e-01 +1.3207e-01 +2.7205e-01 -5.7349e-02 +5.2220e-01 +8.5696e-01 +1.2416e-01 -2.7508e-01 +3.5852e-01 +2.5489e-01
% function evaluation | noise-free fitness - Fopt (3.752000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
