% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.111937288e+07 +1.111937288e+07 +1.111916300e+07 +1.111916300e+07 +5.5734e-03 +2.6244e-01 -3.0653e-01 -3.0310e-01 +3.0503e-01 +5.4152e-01 +5.7246e-01 -2.7529e-01 -1.0957e-01 -3.9375e-01 -5.0725e-01 -5.3900e-02 +4.2197e-02 +4.7445e-01 +8.0493e-01 +4.3456e-02 -8.6415e-01 +7.7047e-01 +3.0597e-01 -2.3765e-01
2 +9.574977029e+06 +9.574977029e+06 +9.574767149e+06 +9.574767149e+06 -1.2252e-01 +1.4710e-02 -7.6969e-01 -1.3818e-01 +5.4810e-01 +3.5345e-01 +1.9681e-01 -7.3020e-01 +4.1759e-01 -6.3481e-01 +7.2266e-01 +7.9432e-01 -3.7794e-01 +6.1017e-02 +3.9171e-02 -1.0951e-01 -4.5327e-01 +5.7487e-01 +7.8350e-02 +2.3985e-01
% function evaluation | noise-free fitness - Fopt (-9.209000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.098137674e+06 +8.098137674e+06 +8.098045584e+06 +8.098045584e+06 -3.0879e-01 +8.4861e-01 -2.8295e-02 +7.3731e-01 +3.7572e-01 +2.4011e-01 -7.6714e-01 -3.4565e-02 -2.5574e-01 +9.3066e-02 +9.6530e-02 +8.1085e-01 -3.6180e-01 +8.4501e-02 -2.3281e-01 -1.5773e-01 -1.8038e-02 +3.3588e-01 +1.0398e-01 -1.3099e-01
18 +6.225278050e+06 +6.225278050e+06 +6.225185960e+06 +6.225185960e+06 -7.2569e-02 -3.5012e-02 +1.0141e-01 -2.5043e-01 -7.2356e-01 -4.4907e-01 +2.0555e-01 -9.9254e-02 -9.1061e-01 -8.8164e-01 -3.1553e-01 -2.3013e-01 -3.2213e-01 -4.8964e-01 +5.8297e-01 +4.5037e-01 -6.2809e-01 +5.2418e-01 -2.2883e-01 -5.7712e-01
% function evaluation | noise-free fitness - Fopt (-8.789000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.406476615e+07 +1.406476615e+07 +1.406467826e+07 +1.406467826e+07 -5.8195e-01 +2.9452e-01 -5.5302e-01 +5.9091e-01 +6.6379e-02 +7.4608e-01 +8.9089e-01 +7.1069e-01 +2.8227e-01 -5.9142e-02 -4.6218e-01 +1.6293e-01 +5.6164e-02 +3.4991e-01 -2.7174e-01 -3.1527e-01 -7.0634e-01 +6.5262e-01 -3.5596e-01 -4.7782e-01
3 +9.517226992e+06 +9.517226992e+06 +9.517139102e+06 +9.517139102e+06 +4.2102e-02 +4.4736e-01 -2.8679e-01 +3.2361e-02 +7.3084e-01 -3.9972e-01 +9.3630e-02 -8.3374e-01 +6.2208e-01 +5.5542e-01 -4.9460e-02 -8.2771e-01 -2.1005e-01 +1.3199e-01 +7.5891e-01 -3.7467e-01 -5.8346e-01 +1.0021e-01 -7.8317e-01 +3.0336e-01
% function evaluation | noise-free fitness - Fopt (3.201900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.077178086e+06 +9.077178086e+06 +9.077498276e+06 +9.077498276e+06 +2.2057e-01 -1.1864e-01 -5.2055e-01 +2.9929e-01 +1.3093e-01 -6.1724e-01 +2.3629e-01 +2.5968e-01 -8.2964e-02 -2.0449e-01 -4.1689e-01 -2.9742e-01 +2.5147e-01 +1.0234e-01 -3.6059e-01 -1.3151e-02 +4.2791e-01 +1.1132e-01 -4.4883e-01 -3.1430e-01
5 +4.946354562e+06 +4.946354562e+06 +4.946674752e+06 +4.946674752e+06 +4.8583e-01 -6.1160e-02 -5.2705e-01 +1.2219e-01 -1.3151e-01 +4.8602e-01 +2.5174e-01 +2.0409e-01 +3.4788e-01 +2.0494e-01 +7.5345e-02 -1.4098e-01 -2.7968e-01 -4.3457e-01 -5.7807e-01 +4.1766e-01 +8.1065e-02 -6.7451e-02 +4.8549e-01 +3.8114e-01
% function evaluation | noise-free fitness - Fopt (-1.042400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.033620293e+07 +2.033620293e+07 +2.033609869e+07 +2.033609869e+07 -2.0059e-01 -4.5430e-01 -4.4861e-02 -1.2785e-01 -6.2446e-01 +2.6184e-01 +2.0403e-01 -3.9924e-01 +3.7946e-01 +1.0661e-01 -6.8932e-01 +4.2614e-01 -4.0857e-01 +9.1909e-01 -7.8828e-02 -4.9051e-01 +2.6508e-01 +2.2687e-01 -9.6939e-02 +5.2643e-02
3 +1.569591111e+07 +1.569591111e+07 +1.569580687e+07 +1.569580687e+07 -2.6793e-01 +2.4960e-01 +5.6203e-01 -4.1111e-01 +1.9896e-01 +8.4843e-01 -1.5190e-02 -4.3315e-01 +3.6654e-01 -5.8607e-01 +1.9822e-01 +1.0391e-01 -3.1266e-02 -5.9469e-01 -6.8969e-01 +3.4833e-01 +5.7275e-01 +3.5952e-02 +4.2805e-01 -4.8052e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.504163946e+06 +2.504163946e+06 +2.503163946e+06 +2.503163946e+06 +3.4592e-01 +3.3638e-02 -3.9495e-01 -2.6232e-01 -2.4078e-02 +2.8811e-01 +2.4582e-01 +2.9380e-01 +2.0666e-01 +3.9496e-02 -3.6441e-01 -6.0970e-01 -8.0244e-01 -5.8971e-01 +6.8849e-01 +6.2601e-01 +2.4885e-01 -5.4906e-01 +1.3802e-01 +6.2346e-01
% function evaluation | noise-free fitness - Fopt (-3.629000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.047899959e+06 +6.047899959e+06 +6.047863669e+06 +6.047863669e+06 -2.5556e-01 -1.0464e-02 -4.9230e-03 -1.2929e-01 +3.1050e-01 +5.6521e-01 +2.9161e-01 +3.5207e-01 +5.6568e-02 +3.5264e-01 +6.9113e-01 +2.2203e-01 -3.0240e-02 -5.4821e-02 -1.1180e-01 -5.0688e-01 +4.1555e-01 -1.6271e-01 +4.9097e-01 -6.8812e-01
2 +2.689417088e+06 +2.689417088e+06 +2.689380798e+06 +2.689380798e+06 +2.0841e-01 +7.3615e-01 -1.1553e-01 -3.0744e-01 +6.7221e-02 -6.8063e-01 -1.6544e-01 -6.3108e-01 +6.7145e-02 +8.7839e-01 -1.8912e-01 +1.0493e-03 -1.5920e-01 -2.5843e-01 +2.2807e-01 +3.3516e-02 +1.7239e-01 +4.3334e-01 -4.2675e-01 +2.9079e-01
% function evaluation | noise-free fitness - Fopt (-4.840000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.454736101e+06 +3.454736101e+06 +3.454687701e+06 +3.454687701e+06 +4.3954e-01 +2.0523e-02 +1.0046e-01 +5.5454e-02 +3.2775e-01 +2.8680e-01 -4.2795e-02 +2.7080e-01 +5.6154e-01 -3.6668e-01 -1.7763e-01 -1.4776e-01 -3.8050e-01 -9.1497e-02 -1.5877e-01 -6.9563e-02 -9.0100e-01 +1.0878e-02 -5.4053e-01 +1.8122e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.438105814e+06 +4.438105814e+06 +4.439105814e+06 +4.439105814e+06 -6.5358e-01 -2.0995e-01 +2.5839e-01 +3.3140e-01 +5.5917e-01 -8.0105e-01 -2.1805e-01 -6.0559e-01 -3.8818e-01 -7.2944e-01 -1.2299e-01 -5.0440e-01 +3.5339e-01 -4.5419e-02 -1.0624e-01 +3.4573e-01 -1.7694e-01 +5.3366e-01 -2.7966e-01 +7.7665e-01
% function evaluation | noise-free fitness - Fopt (3.261100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.523242077e+07 +2.523242077e+07 +2.523274688e+07 +2.523274688e+07 -8.3825e-02 +6.5817e-01 +5.0870e-02 -1.9422e-01 +2.1090e-01 +2.9165e-01 +5.3390e-01 +1.7231e-01 -4.1723e-01 -5.4319e-01 +9.8188e-02 +1.6683e-01 -3.3098e-01 -2.9302e-01 -6.2743e-01 -5.0273e-01 -7.5934e-02 -4.0698e-01 +3.5201e-01 +5.4093e-01
2 +2.075929700e+07 +2.075929700e+07 +2.075962311e+07 +2.075962311e+07 -4.8794e-02 -4.8434e-01 -4.9333e-01 +2.3469e-01 -2.6290e-01 +2.0165e-01 +3.1572e-01 +2.4916e-01 +9.6841e-02 -3.4812e-01 -1.8571e-01 -4.0283e-01 -2.1472e-01 +4.1437e-01 -6.6470e-01 +5.4023e-01 +3.7061e-01 +2.8353e-01 -1.4373e-02 +2.8820e-01
45 +1.568777904e+07 +1.568777904e+07 +1.568810515e+07 +1.568810515e+07 -8.5529e-02 +1.9595e-01 -5.8926e-01 -2.5303e-01 +9.2501e-01 -2.8132e-01 -2.9742e-02 -1.5189e-01 -2.8758e-01 -9.1877e-02 -8.8148e-01 -1.2857e-02 +3.2177e-01 +4.8227e-01 +4.6177e-02 -5.5867e-01 +2.0649e-01 +5.3772e-01 -1.7688e-01 -6.3948e-01
% function evaluation | noise-free fitness - Fopt (-4.682000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.401312366e+06 +6.401312366e+06 +6.401265546e+06 +6.401265546e+06 +1.9539e-01 -8.2775e-01 +1.4505e-01 -2.5381e-01 -6.6659e-02 +1.0270e-01 -6.3514e-02 +2.8336e-01 -2.3665e-01 +1.6135e-01 -1.6892e-01 -4.7127e-02 +1.2964e-01 -1.0506e-01 +5.4999e-01 -4.7731e-01 +2.0536e-01 -9.0426e-02 +9.7976e-01 -8.7210e-02
4 +5.920361937e+06 +5.920361937e+06 +5.920315117e+06 +5.920315117e+06 +6.4941e-01 +2.4924e-01 +6.7347e-01 -7.0223e-03 +6.1451e-01 -8.6586e-01 +1.7507e-01 -1.7668e-01 +2.6753e-01 +2.8600e-01 -3.5866e-01 -4.8071e-02 -7.0502e-01 +1.2045e-01 +8.5286e-01 +4.1468e-02 -3.2628e-01 +2.5255e-01 -2.0729e-01 -2.7621e-01
27 +3.963105914e+06 +3.963105914e+06 +3.963059094e+06 +3.963059094e+06 +5.6470e-03 -5.1284e-01 +3.0058e-01 -6.1752e-01 +4.8918e-02 +3.1453e-01 -3.6829e-01 +7.5269e-01 +4.7927e-01 +5.3085e-01 -2.8362e-01 +5.0240e-01 -2.3820e-01 -8.2180e-01 +5.4756e-02 +9.4380e-02 -5.8323e-01 -6.3224e-01 -3.5646e-01 -6.4250e-01
% function evaluation | noise-free fitness - Fopt (-5.563000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.439326644e+06 +6.439326644e+06 +6.439271014e+06 +6.439271014e+06 +3.8604e-01 +8.2868e-01 -9.5107e-03 +3.8784e-01 +1.1442e-01 -4.5646e-01 -2.4380e-01 -3.9053e-01 -9.0974e-01 +8.2124e-01 +6.0172e-01 +3.3086e-01 -1.2155e-01 -3.8018e-01 -5.1004e-01 +4.6874e-01 -8.1273e-01 +5.2608e-01 +2.1258e-01 -5.1479e-02
2 +5.934841828e+06 +5.934841828e+06 +5.934786198e+06 +5.934786198e+06 +7.2341e-01 +4.8646e-01 -7.8156e-01 -1.8331e-01 +1.4800e-02 +2.8053e-01 -3.2731e-01 -6.3760e-01 -6.4192e-01 -1.4990e-01 -6.8486e-01 -2.2918e-01 -9.6566e-02 -3.6490e-01 +3.5613e-01 -2.9677e-01 +4.6967e-01 -8.1475e-02 +2.4046e-01 -1.6868e-01
% function evaluation | noise-free fitness - Fopt (3.460000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.728260222e+07 +1.728260222e+07 +1.728263682e+07 +1.728263682e+07 -6.3779e-01 -1.0477e-01 +2.5984e-01 +7.7226e-01 +1.5133e-01 -3.2369e-01 +5.0112e-01 -5.9124e-01 -7.2082e-02 -5.0587e-01 -1.9282e-01 -3.2518e-01 +7.7663e-01 +6.4244e-01 -1.9823e-01 -1.3427e-02 +2.9436e-01 -4.4659e-01 -6.3728e-01 -6.3283e-01
5 +1.547548340e+07 +1.547548340e+07 +1.547551800e+07 +1.547551800e+07 +4.9775e-01 -1.9827e-01 -7.4012e-01 +3.8186e-01 +2.6488e-01 -4.4795e-01 +5.3746e-02 +2.3305e-01 +4.2902e-02 +4.1573e-01 -3.9899e-01 -4.7663e-02 -1.2719e-02 -2.3904e-01 -1.3798e-01 +5.8737e-01 -1.1532e-01 -8.5175e-01 +4.6966e-01 -9.0441e-02
24 +9.905942325e+06 +9.905942325e+06 +9.905976925e+06 +9.905976925e+06 +2.4569e-01 -4.4812e-01 +3.1254e-01 +7.0402e-01 -8.3967e-01 +1.3832e-01 +7.4514e-01 +1.9747e-01 -7.3965e-01 -5.8289e-01 -5.1934e-01 +4.7474e-01 -4.2845e-01 +2.2389e-01 -1.9469e-01 +3.7609e-01 +8.0441e-01 +4.4727e-01 -1.3716e-01 +3.9043e-01
% function evaluation | noise-free fitness - Fopt (8.816000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.444085331e+06 +6.444085331e+06 +6.444173491e+06 +6.444173491e+06 +3.8789e-01 +1.9566e-01 -4.3406e-02 +4.1650e-01 -5.9642e-01 -8.9408e-02 -7.5379e-01 +6.7962e-01 -2.9224e-01 -2.9830e-01 +1.0398e-01 +2.9509e-01 -6.5847e-01 +5.7204e-01 +6.7051e-01 -3.4961e-02 -4.9340e-02 +2.2020e-01 +5.5798e-01 +6.3178e-01
5 +4.921675094e+06 +4.921675094e+06 +4.921763254e+06 +4.921763254e+06 -4.1954e-01 -6.6158e-01 +2.7019e-01 +1.1052e-01 -1.0157e-01 +4.5033e-01 -4.3912e-01 +5.2591e-01 +5.4079e-01 -9.4327e-02 -4.9588e-01 -4.3283e-01 +5.4361e-01 +1.6007e-01 +4.7605e-01 +2.6925e-01 -5.8222e-01 -6.4661e-01 -5.8491e-01 -6.5911e-01
