% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.192699991e+01 +4.192699991e+01 +2.498699991e+01 +2.498699991e+01 +5.4724e-01 +4.5887e-01 +4.1203e-01 +1.3421e-01 -5.7528e-02 +1.3745e-01 -2.2737e-01 +2.8555e-01 +1.9615e-01 -4.1726e-01 -4.5113e-01 -1.9388e-02 +5.2440e-01 -7.7312e-01 +3.8034e-01 -1.0288e-01 -5.4596e-01 +5.4008e-01 +6.1725e-01 +4.5276e-01
2 +3.485948884e+01 +3.485948884e+01 +1.791948884e+01 +1.791948884e+01 +1.4089e-01 -5.6630e-01 +8.5545e-02 +4.3640e-01 +3.5713e-01 -3.5708e-01 -4.2399e-01 +6.1858e-01 +5.8239e-01 -2.8415e-01 -8.7441e-02 +1.4478e-02 -3.3212e-01 -5.2217e-01 -2.4250e-01 -1.8161e-01 -2.9277e-01 +1.5143e-01 -8.1267e-01 -1.4864e-01
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.441258588e+01 +1.441258588e+01 +3.322258588e+01 +3.322258588e+01 -7.5586e-01 -4.2698e-01 -2.1565e-01 +3.3331e-01 +4.8480e-01 +5.5625e-01 -6.1737e-01 +3.1214e-01 +1.6172e-01 -3.5218e-02 +1.7844e-01 -1.9369e-01 -4.6456e-01 -2.4570e-01 -1.3740e-01 -3.7465e-01 -1.3767e-01 +2.7312e-01 -1.7487e-01 +4.0202e-01
13 +8.758788469e+00 +8.758788469e+00 +2.756878847e+01 +2.756878847e+01 +3.8199e-01 +1.6167e-01 -3.0903e-01 +1.8435e-01 +4.0331e-01 +6.2734e-01 +8.8768e-01 +3.1962e-01 -1.7122e-01 +3.0152e-01 -4.3869e-01 +2.9855e-01 +2.7391e-01 +8.0668e-02 +3.9340e-01 -4.5522e-01 -4.8183e-02 +7.2512e-01 -1.9142e-02 +5.3690e-02
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.094997217e+01 +6.094997217e+01 +3.340999722e+02 +3.340999722e+02 -5.5514e-02 -3.6513e-01 +2.1576e-01 -8.8266e-01 -5.2245e-01 +3.1848e-02 +5.0419e-01 +9.3581e-01 -2.8167e-01 +5.5352e-01 -2.0636e-01 -3.5507e-01 -5.6231e-02 +4.1077e-01 +6.0346e-01 +7.4525e-01 +1.0596e-01 -7.9061e-02 -3.9043e-01 +3.1419e-01
10 +3.916167432e+01 +3.916167432e+01 +3.123116743e+02 +3.123116743e+02 +4.7770e-01 +1.8850e-02 -2.9481e-01 +4.1439e-01 +1.7137e-01 -4.6142e-01 +1.9219e-01 +3.0312e-01 -4.5569e-01 +5.4745e-01 +3.6455e-01 -2.4315e-01 -3.8573e-01 +5.9262e-02 +2.3752e-01 -2.4937e-01 +3.2106e-01 -3.4686e-01 -5.0547e-01 -5.8444e-01
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.176526626e+01 +1.176526626e+01 +4.894526626e+01 +4.894526626e+01 -4.3183e-01 -5.6199e-01 +6.8770e-01 +2.7406e-01 -6.5207e-01 +2.6900e-01 +1.5651e-02 +6.0248e-01 -1.8288e-01 -2.6796e-01 -7.2181e-01 -1.9765e-01 -3.8253e-02 -5.9518e-01 -8.1228e-01 +4.0015e-01 -4.8671e-01 -1.1632e-01 -1.0710e-01 +4.9064e-01
17 +9.625512271e+00 +9.625512271e+00 +4.680551227e+01 +4.680551227e+01 -3.0266e-01 -3.9331e-01 +2.5665e-01 -1.1083e-01 +6.8261e-02 +7.4017e-01 -3.9025e-01 +4.2315e-01 -2.7745e-01 +6.7262e-01 -2.9473e-01 -8.1872e-02 +1.9870e-01 -3.9052e-01 +2.1373e-01 +6.7792e-01 -4.1565e-02 +3.4800e-01 +1.7468e-01 +4.4436e-01
% function evaluation | noise-free fitness - Fopt (-1.479000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.242665325e+01 +1.242665325e+01 -1.354733467e+02 -1.354733467e+02 +4.3997e-01 -9.8726e-03 +1.4891e-01 +4.8265e-01 +7.7864e-01 -5.8727e-02 +4.2037e-01 -3.4439e-01 -4.5921e-01 +7.3857e-04 -3.2471e-01 +5.3493e-01 +4.9731e-03 -2.8459e-01 +6.4982e-02 +7.0508e-03 +3.2439e-01 -4.7344e-01 +6.1969e-01 -5.1846e-01
% function evaluation | noise-free fitness - Fopt (1.162600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.694191618e+01 +1.694191618e+01 +1.332019162e+02 +1.332019162e+02 +2.8811e-01 -1.2693e-01 -1.2278e-01 +1.6245e-01 -8.8777e-03 -1.4632e-01 -2.7713e-01 -2.6648e-01 -1.5263e-01 +2.6177e-01 -5.8207e-03 +4.3247e-01 -7.2941e-01 +1.1008e-01 -5.6295e-01 -6.0790e-01 -1.7668e-01 +1.0564e-02 +9.4824e-03 -4.1630e-03
3 +1.232628977e+01 +1.232628977e+01 +1.285862898e+02 +1.285862898e+02 +1.8361e-01 -5.5913e-01 +2.9631e-01 +4.5398e-01 -8.5985e-01 +2.8953e-01 -6.5880e-01 -3.0207e-01 -6.6206e-01 +1.4287e-01 +5.3150e-02 -6.0403e-01 +2.3468e-01 -6.7497e-01 +5.6746e-01 -5.7239e-01 +7.4491e-01 -8.7786e-01 -4.7600e-01 +2.0135e-02
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.320114163e+01 +1.320114163e+01 -9.867988584e+02 -9.867988584e+02 +1.4079e-01 +6.4352e-01 -1.2126e-01 +2.2299e-01 +2.2045e-01 +7.0242e-02 +1.2625e-01 -7.6576e-01 +5.2547e-01 +7.0280e-01 +4.8068e-01 -3.6504e-01 -5.8095e-01 -3.8120e-01 -6.6223e-01 -8.1402e-01 -2.7353e-01 +2.5064e-02 -4.6447e-01 +2.9676e-01
21 +9.742976441e+00 +9.742976441e+00 -9.902570236e+02 -9.902570236e+02 -4.3781e-01 +4.2992e-02 +2.3350e-02 -4.5542e-01 +5.8116e-01 +3.5909e-01 -3.6621e-01 -5.0244e-01 +5.6603e-01 -1.4563e-02 +2.5805e-01 +4.2421e-01 +6.4661e-02 -3.2980e-01 +3.1460e-01 -2.1411e-01 -7.2213e-01 +6.9191e-01 +1.9757e-01 -2.8072e-02
% function evaluation | noise-free fitness - Fopt (-9.193000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.595400237e+01 +2.595400237e+01 -6.597599763e+01 -6.597599763e+01 +2.4815e-01 +1.2342e-02 -1.5182e-01 -3.3827e-01 -7.9620e-04 +4.7820e-01 -1.5881e-01 +2.1562e-01 +8.8032e-02 +1.9520e-01 -5.0358e-01 -1.5947e-02 +5.5739e-01 -3.5582e-01 -3.0239e-01 -9.1101e-03 +1.9245e-02 -8.2807e-02 +9.9875e-02 -7.9237e-01
15 +2.191836529e+01 +2.191836529e+01 -7.001163471e+01 -7.001163471e+01 -1.0714e-01 -7.2375e-01 +4.2510e-01 +7.6994e-01 -2.1560e-01 -1.6322e-01 -1.9603e-02 +3.0016e-01 -6.1251e-01 +1.4804e-01 -1.0841e-01 +1.4483e-01 -6.0748e-01 +3.6105e-01 +1.9888e-01 +1.0078e-01 -4.0564e-01 -2.5756e-01 -6.5317e-01 -3.5889e-01
% function evaluation | noise-free fitness - Fopt (1.487500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.859395591e+01 +2.859395591e+01 +1.773439559e+02 +1.773439559e+02 +7.8628e-01 +7.8771e-01 +1.7786e-01 +1.7196e-01 -2.5987e-01 -2.3018e-01 +6.3187e-01 -1.9665e-01 +2.2876e-01 -3.5207e-01 -4.9769e-03 -3.1874e-01 -5.9971e-01 -5.2309e-01 +4.7813e-01 +8.2673e-01 +1.3428e-02 +6.3080e-01 -6.1355e-01 -1.4405e-03
2 +2.121366640e+01 +2.121366640e+01 +1.699636664e+02 +1.699636664e+02 +7.7602e-01 -1.6900e-01 +5.6933e-01 +2.0890e-01 +3.2325e-02 -8.1115e-04 -2.9506e-01 +3.4826e-01 +1.8955e-01 +3.9779e-02 +1.0273e-02 -1.4761e-01 -1.2885e-01 +1.3122e-01 -6.1370e-01 +1.2660e-01 +3.4676e-03 -3.2312e-01 +2.4083e-01 -4.1419e-01
65 +1.410202330e+01 +1.410202330e+01 +1.628520233e+02 +1.628520233e+02 +2.0879e-01 +2.2769e-01 -7.2040e-01 +6.4976e-01 +1.8589e-01 +3.5129e-01 -2.0535e-01 -1.5769e-01 +3.0095e-01 +5.7964e-01 +5.3993e-01 +5.6234e-01 +2.2579e-01 +2.8010e-01 -9.8242e-02 +5.7977e-01 -2.1659e-01 -4.1229e-01 -1.7393e-01 -3.7582e-01
% function evaluation | noise-free fitness - Fopt (-1.483000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.300280003e+01 +1.300280003e+01 -1.352972000e+02 -1.352972000e+02 +2.8741e-01 +3.6018e-01 +2.1210e-01 -5.0112e-01 +6.3705e-02 -3.0810e-01 +5.4640e-01 -8.2274e-01 -1.4327e-01 -1.4378e-01 +1.5883e-01 +1.3883e-01 +5.3613e-01 -2.2902e-01 -3.8435e-01 +1.7859e-01 +1.4684e-01 +7.3637e-01 +6.5288e-01 -2.2157e-01
12 +9.240511313e+00 +9.240511313e+00 -1.390594887e+02 -1.390594887e+02 +6.3490e-01 +5.9586e-01 -7.9985e-01 +5.7712e-01 +1.8941e-01 -9.3046e-01 +5.6121e-01 +7.4455e-01 -8.5891e-01 +7.1982e-03 +4.0097e-01 -1.0102e-02 -1.2820e-01 +1.5806e-03 -4.8067e-01 -3.9801e-01 +5.3004e-01 +4.6297e-01 -1.7857e-01 -7.9263e-02
% function evaluation | noise-free fitness - Fopt (1.702000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.320503585e+01 +1.320503585e+01 +3.022503585e+01 +3.022503585e+01 +2.2636e-01 +1.8437e-01 +1.9508e-01 -1.9848e-01 -5.1306e-01 -1.8743e-01 -2.8198e-01 +8.2985e-02 -4.1282e-01 -4.5824e-02 +2.2312e-01 +5.3331e-01 -8.2168e-01 -8.6376e-02 +5.8054e-01 -6.8365e-01 -3.9928e-01 -8.3152e-01 +7.9469e-01 -9.5609e-02
% function evaluation | noise-free fitness - Fopt (-2.202000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.803932095e+01 +1.803932095e+01 -2.021606791e+02 -2.021606791e+02 +4.2597e-02 -6.4035e-01 +4.0641e-01 -4.4752e-01 -6.1323e-01 -2.7142e-01 -1.0332e-01 -5.7772e-01 -3.8905e-01 +3.0547e-01 +1.4947e-01 +2.5067e-01 -5.8669e-01 +4.5344e-01 +2.9881e-01 -2.4255e-01 -4.6141e-01 +2.2393e-01 -3.0841e-01 -3.6420e-01
3 +1.101410119e+01 +1.101410119e+01 -2.091858988e+02 -2.091858988e+02 -5.4544e-01 +1.3969e-01 -2.5144e-01 +5.0765e-01 +7.9884e-02 -1.7341e-01 -2.1026e-01 +7.6845e-01 -5.1985e-01 -2.4955e-01 -9.6967e-03 +2.9298e-01 +8.9716e-02 -4.0919e-01 +7.3097e-01 -6.6694e-02 -2.2157e-02 +2.5738e-01 -2.5174e-01 -4.8431e-01
% function evaluation | noise-free fitness - Fopt (-2.041000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
