% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.716388269e+01 +8.716388269e+01 +1.666438827e+02 +1.666438827e+02 -2.7997e-01 +8.4672e-02 +2.4818e-01 +3.8331e-01 +6.8224e-01 +2.5276e-02 +5.5233e-01 -4.8578e-01 -6.9093e-01 -5.1841e-01 +2.9524e-01 -2.2753e-01 +2.0315e-01 -7.1156e-01 +4.3321e-01 +2.1792e-01 -3.6307e-01 +2.6933e-02 +3.4436e-01 +7.5199e-02
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.478124242e+02 +1.478124242e+02 +5.422924242e+02 +5.422924242e+02 -2.2566e-01 -2.4104e-01 +9.6562e-02 -4.7598e-02 +4.7494e-01 +1.4648e-01 -3.8620e-01 +1.5380e-01 +3.9054e-01 -1.7257e-01 +5.9005e-01 +2.6440e-01 +1.0681e-02 -2.4178e-01 +1.3982e-01 +1.7869e-01 +2.4554e-01 -5.1891e-01 +1.2914e-01 -1.8010e-01
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.364204216e+02 +1.364204216e+02 -1.106895784e+02 -1.106895784e+02 -1.9646e-01 -6.3747e-01 -7.6696e-01 +3.8283e-01 -2.2699e-01 +1.4105e-02 +2.3697e-01 +4.9615e-01 -3.8213e-01 -4.1937e-01 -2.9617e-01 -5.7722e-01 +4.2737e-01 -5.0940e-01 -6.5769e-01 +2.5695e-01 +3.0249e-01 -5.4276e-03 -1.5427e-01 -7.0110e-01
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.045492998e+02 +1.045492998e+02 -4.749070022e+01 -4.749070022e+01 +2.1773e-01 +6.9165e-01 -1.9557e-01 -4.0588e-01 +2.3334e-01 +2.1937e-01 -2.4231e-01 -2.5294e-01 +9.5960e-01 +8.0969e-03 +1.5459e-01 -3.8514e-02 -3.8187e-01 +2.6506e-01 -6.6170e-02 +3.4512e-01 -3.3877e-01 -3.5651e-01 +1.6959e-01 -2.5616e-01
24 +9.964040201e+01 +9.964040201e+01 -5.239959799e+01 -5.239959799e+01 -5.6769e-01 -2.4700e-01 -6.2441e-01 +6.8351e-01 -1.4084e-01 +1.3648e-01 -5.0612e-01 -1.4622e-01 -7.0025e-01 -1.4604e-01 +1.5343e-04 -2.1027e-01 -1.9738e-01 +6.0094e-01 +1.3359e-01 -2.7665e-01 +6.8111e-02 -2.3758e-01 -7.8104e-01 -6.0770e-02
% function evaluation | noise-free fitness - Fopt (-2.525000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.849845387e+01 +6.849845387e+01 +4.324845387e+01 +4.324845387e+01 -2.4772e-01 -4.9678e-01 -2.3222e-01 +1.4928e-01 +3.2422e-02 -7.6072e-01 +3.3144e-01 -1.0486e-01 +3.4022e-01 -2.7069e-01 -2.6276e-01 -2.9938e-01 -5.9089e-01 +2.4282e-01 +7.7898e-01 +2.5552e-01 -6.5628e-01 -5.2322e-01 +3.1054e-01 -5.6374e-01
52 +5.913763478e+01 +5.913763478e+01 +3.388763478e+01 +3.388763478e+01 +1.6878e-01 -2.8188e-01 +6.3717e-01 -5.4600e-01 +6.4558e-01 -8.2277e-01 -4.9863e-01 -4.7905e-01 -2.7421e-02 -8.9990e-03 +6.1570e-01 +4.0372e-01 -7.9437e-01 +5.3216e-03 +3.5421e-01 -4.4137e-01 -9.9199e-03 +6.4396e-01 -2.9163e-01 +1.3200e-01
% function evaluation | noise-free fitness - Fopt (2.230000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.146674313e+02 +1.146674313e+02 +1.168974313e+02 +1.168974313e+02 -1.2178e-01 +4.0564e-01 -3.7051e-01 +4.8643e-01 +5.5835e-01 -3.1670e-01 -6.0211e-02 +2.0923e-01 +4.2995e-01 -3.5086e-01 +1.5727e-02 -7.2535e-01 -1.6835e-01 +1.4349e-01 -4.8731e-01 +1.6395e-01 -3.7268e-02 -1.0924e-01 +3.7921e-01 -8.4535e-01
18 +9.735227004e+01 +9.735227004e+01 +9.958227004e+01 +9.958227004e+01 +8.1125e-02 +5.7543e-02 -3.2835e-01 -1.8680e-01 -1.6344e-01 -3.2306e-01 -2.1594e-01 -6.6841e-01 -2.6567e-01 -4.4646e-01 -3.9596e-01 +8.0841e-02 -2.4057e-01 -8.7244e-01 -6.1027e-01 -2.6744e-01 +5.1313e-01 -3.3178e-02 -5.2418e-02 -3.9040e-01
% function evaluation | noise-free fitness - Fopt (-1.308000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.142041950e+01 +9.142041950e+01 +7.834041950e+01 +7.834041950e+01 +2.5501e-01 -1.0896e-01 +6.0051e-01 +8.6441e-02 +4.3077e-01 +3.8861e-01 +4.2140e-01 +5.7070e-01 +2.6546e-01 -3.7021e-01 -3.1586e-01 -2.4829e-01 +1.1096e-02 -3.1514e-02 +2.4137e-02 +5.2211e-01 -1.8500e-01 -6.0053e-02 +3.5513e-01 -4.3017e-01
