% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.998554783e+02 +6.998554783e+02 +1.699855478e+03 +1.699855478e+03 -4.5479e-01 +7.1992e-04 +1.0333e-01 -3.6762e-01 +4.9352e-01 -2.0599e-01 -6.2823e-02 -7.5949e-01 +1.2160e-01 -6.8300e-01 +1.4510e-01 -3.8824e-01 +1.7883e-01 -8.6191e-01 -5.0072e-01 -2.7334e-01 +3.7812e-02 -3.2307e-01 -1.6451e-01 -1.6671e-01
12 +6.107795195e+02 +6.107795195e+02 +1.610779519e+03 +1.610779519e+03 +4.3275e-01 -4.4263e-02 -2.0474e-01 -7.3763e-01 +5.9298e-04 +1.6271e-01 +3.8361e-01 +3.1281e-01 +4.3009e-02 +8.2229e-02 +4.9483e-01 -7.1254e-01 -2.8182e-01 -4.8437e-01 +4.4048e-01 -4.9302e-01 +6.8935e-01 +1.1929e-01 +5.6798e-01 -7.9781e-01
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.547889896e+02 +7.547889896e+02 +8.248189896e+02 +8.248189896e+02 +5.3713e-01 -4.4356e-01 +1.8819e-01 -6.2527e-01 +9.7023e-01 -3.0866e-01 +1.5285e-01 -9.9027e-02 +4.4121e-02 +2.6156e-02 -4.6883e-01 +5.6995e-01 -5.3181e-01 +6.2238e-01 +2.5365e-01 +5.8942e-01 -5.6983e-01 +2.8054e-01 -6.1667e-01 +2.0827e-01
7 +5.702595685e+02 +5.702595685e+02 +6.402895685e+02 +6.402895685e+02 -5.5385e-01 +3.5347e-02 -5.0672e-01 +7.4054e-01 -6.7068e-01 -3.4795e-01 +4.5556e-02 +3.4110e-01 +4.3591e-01 +7.3802e-01 +5.1278e-01 +2.5899e-01 -3.3578e-01 -7.9469e-01 -7.7917e-01 -1.9087e-01 +9.9146e-02 +5.7271e-01 -1.6349e-01 +5.7202e-01
% function evaluation | noise-free fitness - Fopt (-4.822000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.079061450e+03 +1.079061450e+03 +1.030841450e+03 +1.030841450e+03 +6.7454e-01 -2.9811e-01 +6.2720e-01 -1.4236e-01 +1.2230e-01 +3.1629e-01 +4.6191e-01 +7.1594e-01 +5.9892e-01 -1.6986e-01 -1.8822e-01 +2.8593e-01 +2.2995e-01 -2.2303e-01 -1.5936e-01 +5.4738e-02 -6.5035e-01 +5.9798e-01 -2.3864e-01 +2.2766e-01
2 +8.342336848e+02 +8.342336848e+02 +7.860136848e+02 +7.860136848e+02 -2.6211e-01 +4.8454e-01 +3.1948e-01 +3.0189e-01 -3.8049e-02 -1.6220e-01 +8.4813e-02 +2.2333e-01 -8.0643e-01 +6.6601e-01 +4.7352e-01 -7.6879e-02 -1.7738e-01 -9.4962e-02 -8.6030e-02 +2.6054e-01 -4.1059e-01 -1.1742e-01 -6.5326e-01 +1.0859e-01
% function evaluation | noise-free fitness - Fopt (2.547000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.191926130e+03 +1.191926130e+03 +1.217396130e+03 +1.217396130e+03 +3.7931e-02 +6.9322e-01 +6.0463e-01 -7.1734e-01 +7.6316e-01 -3.0439e-01 +9.6924e-02 -2.3913e-02 +4.6850e-01 -2.5276e-01 +4.3818e-02 +7.3086e-01 +5.8469e-01 -7.4199e-02 +7.0169e-02 +3.2919e-02 +1.9901e-01 +8.1485e-02 -4.3189e-01 -6.7101e-01
51 +9.396272912e+02 +9.396272912e+02 +9.650972912e+02 +9.650972912e+02 -3.3119e-01 +3.7630e-01 +1.3005e-01 -1.6274e-01 -6.5167e-01 -7.8613e-01 -2.1036e-01 -1.3401e-02 +2.9377e-01 -7.5468e-02 -4.9897e-02 -6.3876e-01 -2.1109e-01 +1.4001e-01 +6.4165e-02 -2.6505e-01 +5.2550e-02 -4.2185e-01 +1.9155e-01 -1.0385e-01
% function evaluation | noise-free fitness - Fopt (-1.008100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.791606135e+02 +5.791606135e+02 +4.783506135e+02 +4.783506135e+02 -2.7949e-01 -4.5839e-01 +1.5221e-01 +1.8610e-01 +2.2085e-01 +7.9436e-01 -8.3006e-01 +8.6269e-02 -2.3686e-01 -5.6536e-01 -2.6530e-01 -1.7411e-01 +7.7996e-02 -4.2184e-01 -6.2404e-01 +9.4876e-02 +7.1332e-01 +6.4282e-01 -2.0368e-01 +6.0466e-01
% function evaluation | noise-free fitness - Fopt (4.017300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.634337415e+02 +6.634337415e+02 +1.065163742e+03 +1.065163742e+03 +1.7874e-01 +4.9435e-01 +1.8464e-01 +6.0577e-01 +1.0799e-01 -1.5308e-01 +5.7501e-02 +3.8896e-01 -6.0284e-01 +4.5671e-01 -7.1198e-03 +7.2341e-01 +9.6230e-02 +7.4204e-01 -1.6613e-01 -5.9985e-02 +3.2579e-01 -3.6565e-01 +2.6026e-01 -7.9653e-01
7 +5.823534736e+02 +5.823534736e+02 +9.840834736e+02 +9.840834736e+02 -1.4352e-01 +9.0932e-02 +1.9887e-02 +7.6221e-01 +2.5327e-01 -7.3036e-02 +3.9715e-01 +2.5473e-01 +1.7423e-02 +3.4473e-01 -5.5038e-02 -3.8290e-01 +4.2192e-01 +2.7692e-01 -9.7743e-02 -2.7072e-02 -1.0994e-01 +4.8362e-01 +2.8520e-01 +2.2451e-01
% function evaluation | noise-free fitness - Fopt (-9.575000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.055895960e+02 +7.055895960e+02 +6.098395960e+02 +6.098395960e+02 -1.3257e-01 -6.3631e-01 -1.1502e-01 -2.4828e-02 +6.3042e-01 +4.6277e-01 -3.1058e-01 +5.2217e-01 -8.3440e-01 -1.0525e-01 -5.0431e-01 +1.1920e-01 -6.1646e-02 -3.8684e-02 -5.5780e-02 -1.8348e-01 -5.0923e-01 +3.7206e-01 +1.7674e-01 +5.5782e-01
20 +6.124090570e+02 +6.124090570e+02 +5.166590570e+02 +5.166590570e+02 +6.2369e-01 +3.0336e-02 -8.0997e-02 +5.2201e-01 -6.1456e-01 +4.0021e-02 +5.8069e-01 +9.9620e-02 -2.8590e-01 -2.3615e-01 -1.6638e-01 +1.7091e-01 -7.5180e-02 +2.9461e-01 -5.2492e-01 -3.4257e-01 +6.3555e-01 +5.5157e-01 +8.7481e-02 -9.0547e-02
% function evaluation | noise-free fitness - Fopt (-9.136000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.838883376e+02 +4.838883376e+02 +3.925283376e+02 +3.925283376e+02 +3.3784e-01 -1.7623e-01 -7.8722e-02 +8.2762e-04 +4.0403e-01 -8.6086e-02 +2.9890e-01 +5.9023e-01 +2.8840e-02 +7.6518e-01 +4.6771e-01 -7.6549e-02 -6.9902e-01 -3.2729e-01 -1.3329e-01 +6.4096e-01 +2.2037e-01 +2.6857e-01 -5.0370e-01 -2.0467e-01
% function evaluation | noise-free fitness - Fopt (2.315300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.204481129e+02 +6.204481129e+02 +8.519781129e+02 +8.519781129e+02 +3.4934e-01 -1.1354e-01 -2.6078e-01 -2.6055e-01 +4.3677e-01 +1.5527e-01 +4.3090e-02 +1.1147e-01 +4.9113e-01 +4.6816e-02 -3.9199e-01 +2.9407e-01 +8.9144e-03 -1.9802e-01 +4.6220e-01 -1.7134e-01 -3.6166e-01 +4.3728e-01 -3.2088e-01 -4.7680e-01
% function evaluation | noise-free fitness - Fopt (-1.397700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.557616094e+02 +9.557616094e+02 +8.159916094e+02 +8.159916094e+02 -3.2899e-01 -4.4970e-01 +2.6985e-01 -3.6839e-01 +5.4221e-01 -6.1407e-01 -2.1854e-01 -2.2146e-02 -2.2968e-01 +5.1008e-01 -1.6586e-01 -6.3926e-01 +9.7755e-02 +1.3874e-01 -3.5539e-01 -7.2476e-01 +6.6911e-01 +1.6829e-01 +2.4237e-02 -5.5448e-01
% function evaluation | noise-free fitness - Fopt (9.830000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.290379760e+02 +8.290379760e+02 +8.388679760e+02 +8.388679760e+02 -1.6372e-01 -2.6942e-01 -1.7322e-01 -5.6794e-01 -1.9685e-01 -2.8732e-02 +4.3455e-02 +2.1503e-01 +2.1499e-01 -2.4406e-01 -2.9756e-01 -8.8757e-02 -2.8703e-01 -6.4699e-01 -1.8188e-01 -3.4942e-01 +7.7211e-01 +6.0943e-02 +3.7591e-01 +7.0760e-01
39 +5.866724326e+02 +5.866724326e+02 +5.965024326e+02 +5.965024326e+02 +6.9149e-01 -4.2637e-01 +1.6842e-02 -1.1746e-01 +2.0128e-01 -3.5268e-01 +6.9808e-01 -3.3486e-01 +3.7372e-01 -3.0583e-01 -8.8726e-01 -5.5567e-01 -2.5230e-01 -1.3091e-01 -2.2942e-02 +7.3391e-01 +5.2497e-01 -4.0127e-02 -4.3107e-01 -4.8514e-01
% function evaluation | noise-free fitness - Fopt (6.721000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
