% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.058260585e+03 +1.058260585e+03 +5.961705851e+02 +5.961705851e+02 -1.6978e-01 +3.0648e-01 -3.2071e-01 +7.9765e-02 -4.7978e-01 +4.4062e-01 +1.1569e-02 -4.7432e-01 -7.2456e-01 -1.5274e-01 -1.5385e-01 +1.6256e-01 -1.6007e-01 -3.9205e-01 -2.0078e-01 +2.6660e-01 +1.6796e-03 -7.1213e-02 +1.0943e-01 +1.8338e-01
4 +9.501686424e+02 +9.501686424e+02 +4.880786424e+02 +4.880786424e+02 -3.1994e-01 -7.3935e-02 +5.0869e-01 +4.1474e-01 -7.3135e-01 -5.8620e-01 -2.1441e-03 +4.0926e-01 +8.8879e-02 -8.6331e-01 -1.3611e-01 -2.0170e-04 +1.5982e-02 +2.2056e-01 +2.0292e-02 +3.8984e-02 -5.1478e-01 +2.2940e-02 +3.1513e-02 +4.0363e-02
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.017160166e+02 +9.017160166e+02 +9.793760166e+02 +9.793760166e+02 -2.8778e-01 +5.3500e-01 +2.1873e-01 +2.3996e-01 -4.9095e-02 -2.8131e-01 +3.9934e-01 -1.2889e-01 -4.4383e-01 -6.1405e-01 +2.4101e-01 -6.1817e-01 +7.4640e-03 +4.4580e-01 -4.3083e-01 +2.0022e-01 -4.9488e-01 -1.4499e-01 +2.5830e-01 +1.8999e-02
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.892033603e+02 +6.892033603e+02 +8.048833603e+02 +8.048833603e+02 -1.8239e-01 -6.8208e-01 +1.1592e-01 -2.8441e-01 -5.7562e-01 +3.2589e-01 +4.5696e-02 +3.1557e-01 +2.2199e-01 -3.0143e-01 +9.2888e-02 +1.8542e-01 -5.8225e-01 +7.2739e-01 -4.0708e-01 -1.5518e-01 -4.5011e-01 +7.5894e-01 -7.5509e-02 +2.6239e-02
33 +6.264865944e+02 +6.264865944e+02 +7.421665944e+02 +7.421665944e+02 -1.4287e-01 -3.3498e-01 +4.3032e-01 +9.8498e-02 +4.7264e-01 -4.4921e-01 -7.2391e-02 +3.8651e-01 -7.6337e-01 +6.5519e-02 -8.4166e-02 -4.0046e-01 -1.0218e-01 +2.9027e-01 -4.6627e-01 +1.2672e-01 +1.5732e-01 +6.1785e-01 +4.3690e-01 -1.4892e-02
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.978039981e+02 +8.978039981e+02 +8.940939981e+02 +8.940939981e+02 +4.0722e-02 +4.1895e-01 +3.8478e-02 +6.6992e-02 -7.1841e-01 +3.5373e-01 -1.8945e-01 +3.1605e-02 -1.2660e-01 +1.0539e-01 -3.4060e-01 -5.1994e-01 +1.3586e-01 +7.9935e-01 +9.8925e-02 -7.3894e-02 +6.6683e-01 -6.7027e-01 +3.1099e-01 -1.8991e-01
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
