% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.401101721e+06 +4.401101721e+06 +4.401046781e+06 +4.401046781e+06 +5.6731e-01 +2.7327e-02 +2.5335e-01 -1.8438e-02 -4.0874e-01 -5.2144e-01 +8.0189e-01 +7.7232e-01 -4.6992e-01 +3.8527e-01 -6.6988e-01 +1.4935e-01 -5.6109e-01 -9.6087e-01 -1.7991e-01 -1.7693e-01 -7.6441e-01 +7.0747e-01 -3.7523e-01 +4.6094e-02
21 +2.769707824e+06 +2.769707824e+06 +2.769652884e+06 +2.769652884e+06 +1.3210e-01 -3.3844e-01 -4.3335e-01 +2.8022e-01 +1.7598e-01 +8.1289e-02 +2.8827e-01 -9.3425e-01 -4.5795e-01 +7.1154e-01 +5.8286e-01 -6.2352e-01 +3.1051e-01 -1.2125e-01 +4.9149e-01 -3.4097e-01 +1.6763e-01 +4.2064e-01 -3.4022e-01 +3.8586e-01
34 +2.364914109e+06 +2.364914109e+06 +2.364859169e+06 +2.364859169e+06 -1.6420e-01 -4.0990e-01 +5.9964e-03 -4.9098e-01 +6.6653e-01 -8.7146e-01 -1.8415e-01 +3.0778e-02 -3.5033e-01 +7.7538e-02 -5.8662e-01 -1.2342e-01 -5.8588e-02 +1.5295e-01 -3.3847e-02 -7.5527e-01 +7.4018e-01 +7.7870e-01 -2.7353e-01 +1.6727e-01
% function evaluation | noise-free fitness - Fopt (5.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.130777928e+06 +3.130777928e+06 +3.130837058e+06 +3.130837058e+06 +4.9489e-01 -8.1829e-01 -3.5889e-01 -6.7641e-01 -2.0757e-01 +6.0462e-01 +4.8717e-01 +2.7145e-01 -3.2362e-02 -2.7121e-01 +4.0423e-02 -5.7234e-01 -1.8056e-01 +3.4765e-01 +6.1368e-02 +4.5087e-01 -1.7331e-01 -1.1625e-01 -2.7081e-02 -1.4877e-01
2 +2.135779349e+06 +2.135779349e+06 +2.135838479e+06 +2.135838479e+06 +2.9390e-01 -1.2516e-01 -6.3267e-01 +1.8309e-01 +3.6118e-01 -2.8565e-01 -5.8260e-01 -5.5279e-01 -3.6807e-01 +8.9127e-02 +9.2514e-01 +7.3412e-03 +5.5247e-01 -2.7586e-01 +2.9693e-01 -1.2784e-03 +3.3752e-02 +5.4127e-01 -2.4431e-01 +1.7835e-01
19 +1.498919776e+06 +1.498919776e+06 +1.498978906e+06 +1.498978906e+06 -4.7327e-01 +4.7966e-01 +1.8324e-02 +9.2029e-01 +5.2511e-01 -4.4659e-01 -1.1266e-01 +6.9712e-01 -4.4858e-01 +8.9830e-01 +6.0214e-01 +1.3874e-03 +1.5317e-02 -1.4371e-01 +4.5087e-01 +1.6923e-01 +2.1117e-01 +1.7984e-01 +4.3973e-02 -2.2259e-01
% function evaluation | noise-free fitness - Fopt (-4.915300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.385708392e+06 +2.385708392e+06 +2.385216862e+06 +2.385216862e+06 -2.5873e-01 -3.9726e-01 -8.7259e-01 +1.9483e-01 +5.2241e-01 -8.9912e-02 -2.3218e-02 +3.4951e-03 -2.7452e-01 -1.5054e-01 +1.4203e-01 +4.4634e-01 +1.1565e-01 +1.5924e-01 -1.9194e-01 +2.8828e-02 -5.7360e-01 -4.7115e-01 -9.2145e-01 -4.0443e-02
2 +1.550975099e+06 +1.550975099e+06 +1.550483569e+06 +1.550483569e+06 +3.2103e-01 -3.6988e-01 -1.1994e-02 +6.9019e-01 +2.7501e-01 -2.4493e-01 +6.6357e-01 +2.6156e-01 -6.4531e-02 -3.0705e-01 -1.9929e-02 -8.7024e-02 -5.6738e-01 -2.7882e-01 +2.0374e-01 -7.8269e-01 -5.4737e-01 +9.2971e-01 +7.9874e-01 -2.2048e-01
