% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.001564853e+01 +8.001564853e+01 +1.207956485e+02 +1.207956485e+02 +4.6518e-01 +2.0130e-01 +3.0533e-01 +2.4477e-01 +7.4988e-01 +2.2056e-01 +2.8187e-01 -1.9642e-01 -1.9249e-01 -5.0661e-02 -2.3635e-01 +6.3920e-02 +6.2887e-01 +7.9373e-01 +3.8554e-01 -4.4327e-01 -1.8326e-01 +6.4805e-01 -3.9279e-01 +2.1346e-01
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.044845743e+01 +8.044845743e+01 +7.884845743e+01 +7.884845743e+01 +4.3061e-01 -3.8393e-01 -5.5639e-01 -4.1432e-01 -5.1257e-01 -7.8210e-01 +3.1080e-01 +2.0130e-01 +6.2883e-01 +1.7389e-01 +6.0915e-01 +5.2684e-01 +1.8448e-01 -5.5348e-03 -2.4986e-01 -4.1496e-01 -2.6568e-01 +2.1142e-01 +2.0894e-01 -6.4560e-02
% function evaluation | noise-free fitness - Fopt (-3.708400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.847102474e+01 +7.847102474e+01 -2.923689753e+02 -2.923689753e+02 -9.7850e-02 -2.7421e-01 +2.7613e-02 +4.6054e-01 -4.9786e-01 -8.3195e-01 +1.7360e-01 -5.6671e-01 -5.0258e-01 +1.0230e-01 +4.4525e-01 -4.1933e-02 -1.8360e-02 +4.6035e-01 -9.3254e-01 +4.1056e-01 +3.9097e-01 +5.1990e-01 +1.9590e-02 -2.7361e-01
% function evaluation | noise-free fitness - Fopt (-3.256000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.865880006e+01 +7.865880006e+01 +4.609880006e+01 +4.609880006e+01 +6.0208e-02 +1.9462e-01 -5.2893e-01 +1.8692e-01 -1.6201e-01 -8.2555e-01 -2.2803e-02 -3.7047e-01 -4.0284e-01 -3.2072e-02 -6.4287e-01 -2.5183e-01 +7.7817e-02 +3.3344e-01 +2.2302e-01 +5.9965e-01 -8.6164e-01 +5.1577e-01 -3.4964e-01 +4.1444e-01
% function evaluation | noise-free fitness - Fopt (5.154000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.829629891e+01 +7.829629891e+01 +5.936962989e+02 +5.936962989e+02 +1.0818e-01 -9.1031e-01 +1.9013e-01 +5.8313e-01 +2.2879e-01 +1.4107e-01 +1.1680e-01 -2.7740e-01 +6.4356e-01 +2.0513e-01 +1.0802e-02 +5.9061e-01 +5.0366e-01 +6.2937e-01 -5.9116e-02 +7.7813e-01 -1.9849e-01 +5.7425e-02 -5.1454e-02 -2.2780e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.630625645e+01 +7.630625645e+01 -9.236937436e+02 -9.236937436e+02 +6.7299e-02 +4.8511e-01 -3.7066e-02 -5.0608e-01 -3.9843e-01 +5.0206e-02 -1.9920e-01 +5.2525e-01 -1.8619e-01 +6.3072e-02 +5.3217e-01 +6.9565e-01 -8.3078e-01 +3.8212e-01 -6.6149e-02 +1.9630e-01 +7.1023e-02 -3.7096e-01 +2.6327e-01 +4.6415e-01
% function evaluation | noise-free fitness - Fopt (1.317500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.730464737e+01 +7.730464737e+01 +2.090546474e+02 +2.090546474e+02 -5.4508e-01 -5.1269e-02 +3.6563e-01 +1.9475e-01 -4.5732e-01 +8.7947e-02 -6.0810e-01 +1.2933e-01 +5.7870e-01 +4.4624e-01 -2.4743e-01 -5.8000e-01 +7.4252e-02 +5.0265e-01 -3.4791e-01 -1.5970e-01 +2.0441e-01 -9.2583e-02 +2.2622e-01 -3.0855e-01
% function evaluation | noise-free fitness - Fopt (1.144900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.518903964e+01 +7.518903964e+01 +1.896790396e+02 +1.896790396e+02 +5.8070e-02 -5.8488e-02 +8.4537e-01 -2.7536e-01 -9.1263e-01 +7.7930e-01 +4.1651e-01 +1.7597e-01 +2.1807e-01 -6.6069e-01 +3.0968e-01 -1.1299e-01 +2.4288e-01 +3.8000e-01 +3.4257e-01 +2.6808e-01 +6.2381e-01 +7.1313e-01 +4.9879e-01 +1.2093e-01
% function evaluation | noise-free fitness - Fopt (-2.596000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.790990470e+01 +7.790990470e+01 +5.194990470e+01 +5.194990470e+01 -3.1175e-01 +7.2959e-02 -2.3022e-01 +6.0413e-01 +1.4590e-01 +4.3183e-01 -9.4117e-01 +2.6427e-02 -6.4415e-01 +5.3155e-01 -2.7888e-01 +4.3045e-01 +1.5529e-02 +9.4967e-01 +9.5772e-01 -5.2384e-01 +1.5298e-01 +4.1239e-01 -7.6411e-05 -2.0745e-01
% function evaluation | noise-free fitness - Fopt (9.251000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.170596355e+01 +8.170596355e+01 +1.742159636e+02 +1.742159636e+02 -4.8918e-01 +4.1772e-02 -8.1629e-01 +2.7511e-01 -5.2983e-01 -3.2121e-01 -4.5842e-01 +4.5822e-01 -1.3934e-01 -1.9002e-01 +1.5215e-01 +3.2332e-01 -2.4641e-01 -1.3978e-01 -9.9445e-02 +4.0202e-01 +3.0560e-01 +3.0453e-02 -5.5433e-02 -3.5962e-01
% function evaluation | noise-free fitness - Fopt (1.660100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
