% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.033120565e+02 +2.033120565e+02 +1.863720565e+02 +1.863720565e+02 +1.9842e-01 +1.1657e-01 -9.5711e-02 +4.5922e-01 -9.2873e-02 -8.4144e-02 -5.4852e-01 +5.6839e-01 -1.2397e-01 -6.1259e-01 -1.6760e-01 -6.0715e-01 +2.4028e-01 +1.6129e-01 +7.4416e-01 -2.4645e-01 -8.2318e-03 -4.3344e-01 +3.5897e-01 -2.0738e-01
2 +1.378659941e+02 +1.378659941e+02 +1.209259941e+02 +1.209259941e+02 +2.0834e-01 +1.3481e-01 -4.2461e-01 -8.1757e-02 -3.5566e-01 +5.6389e-01 +5.5510e-01 +1.2103e-01 +3.2337e-02 +6.0982e-02 +4.2527e-01 +6.8226e-01 -9.1079e-01 +6.5945e-02 -1.6851e-01 -8.6256e-03 +1.2061e-01 +4.0169e-01 +1.9190e-01 +1.6249e-01
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.118589362e+01 +6.118589362e+01 +7.999589362e+01 +7.999589362e+01 -6.4267e-02 +2.5658e-02 +3.4950e-01 -2.0185e-01 -5.0557e-01 -2.7676e-02 +5.8834e-02 -2.9572e-01 +7.5792e-01 +5.7990e-01 +3.3853e-01 -8.0661e-01 +7.4050e-01 -6.0046e-01 +3.5341e-02 +8.0424e-02 +6.9291e-01 -1.5157e-01 +4.0618e-01 +6.6177e-01
71 +3.757516984e+01 +3.757516984e+01 +5.638516984e+01 +5.638516984e+01 -1.1183e-01 +6.6428e-01 -1.3715e-01 +1.0341e-01 +5.0870e-01 +6.4905e-02 +5.9935e-01 +4.5881e-01 +3.0872e-02 +3.0031e-01 +1.3181e-01 +7.5727e-01 +2.2965e-01 -2.6948e-02 -2.9498e-02 -7.6644e-02 -4.0013e-01 +6.5131e-01 -1.2693e-01 +6.1457e-02
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.281116809e+02 +2.281116809e+02 +5.012616809e+02 +5.012616809e+02 -7.7594e-01 -3.9425e-01 -9.9605e-01 +3.5534e-01 +4.8249e-01 +4.9363e-01 -2.8401e-01 +7.9187e-02 +7.4263e-02 -1.2178e-01 -1.3441e-01 +5.7261e-02 -1.5012e-01 +5.6465e-01 -4.5330e-01 -5.8997e-02 -6.4359e-02 +3.8320e-01 -2.3446e-02 -8.0617e-02
3 +1.555652134e+02 +1.555652134e+02 +4.287152134e+02 +4.287152134e+02 +3.5900e-01 -3.1505e-01 -3.0061e-01 +3.0573e-01 -1.5904e-01 -5.7397e-01 -6.9121e-01 -2.5070e-01 -1.0142e-01 -1.8233e-01 -1.5909e-01 +1.5876e-01 +9.7986e-02 +1.6647e-01 +5.0711e-01 -5.1302e-01 -2.0025e-01 -7.6507e-02 +1.6857e-01 -1.3478e-01
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.095672617e+01 +5.095672617e+01 +8.813672617e+01 +8.813672617e+01 -4.1794e-01 +3.6624e-01 -1.6893e-02 +7.6301e-01 +1.6943e-01 -6.3074e-01 +2.5797e-01 +4.6194e-02 -5.1316e-02 -5.9062e-02 +4.2340e-01 +7.9476e-01 -4.0510e-01 +6.2045e-01 +2.0301e-01 +7.3310e-03 -3.4574e-02 +3.9841e-01 +4.5206e-01 +5.2007e-01
4 +3.888368653e+01 +3.888368653e+01 +7.606368653e+01 +7.606368653e+01 -6.2513e-02 +4.8277e-02 +8.2672e-01 -1.0428e-01 -9.8288e-02 -3.6202e-01 -2.4906e-01 +2.0415e-01 -1.8339e-01 -1.4643e-01 -3.5244e-01 -9.6356e-02 +2.6402e-01 +6.2518e-02 -8.1871e-01 +5.5397e-01 +4.9844e-02 +2.7641e-01 +1.8324e-01 +4.2550e-02
% function evaluation | noise-free fitness - Fopt (-1.479000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.312308532e+01 +7.312308532e+01 -7.477691468e+01 -7.477691468e+01 +1.7236e-01 +7.8996e-01 -2.6801e-01 +9.3361e-02 +4.1044e-01 -5.9666e-01 +6.6823e-02 +5.9472e-02 -1.3531e-01 +2.3627e-01 -6.3759e-01 +2.2812e-01 +9.4337e-01 +3.2594e-01 -3.4975e-01 -6.0439e-02 +1.0473e-01 -8.8794e-01 -4.3884e-01 -1.8554e-01
2 +4.942406002e+01 +4.942406002e+01 -9.847593998e+01 -9.847593998e+01 -8.5857e-03 +1.3761e-01 +3.8662e-01 -7.0681e-02 -3.4460e-02 +1.4783e-01 +1.0029e-01 -4.6445e-01 -4.4740e-01 -3.4003e-01 +4.8679e-01 +4.4878e-01 +1.3149e-01 +1.9038e-02 -5.1199e-01 -3.6799e-01 +2.8858e-01 +4.2394e-01 -3.8363e-02 -1.1611e-01
11 +3.864621189e+01 +3.864621189e+01 -1.092537881e+02 -1.092537881e+02 -5.7231e-01 -1.1435e-02 +1.2533e-01 +6.6894e-01 +4.0263e-03 -2.8479e-01 -1.8962e-01 -2.6480e-01 +1.5990e-01 +4.1337e-01 +1.0792e-01 -3.4935e-02 +5.1625e-01 -1.3515e-02 +4.2123e-01 +5.1151e-01 -4.9241e-01 -6.3975e-01 -5.5927e-01 -1.1268e-01
% function evaluation | noise-free fitness - Fopt (1.162600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.611140530e+01 +6.611140530e+01 +1.823714053e+02 +1.823714053e+02 -5.4721e-02 -6.6503e-01 -8.4016e-01 +1.3319e-02 -1.6061e-01 -2.5806e-01 +4.4757e-03 +5.1860e-01 -9.0402e-01 -2.5747e-01 -1.6323e-01 -2.6086e-01 -2.4830e-01 -4.4960e-01 -2.7350e-01 +6.4737e-02 +6.5484e-01 +1.2111e-01 +4.8634e-01 +2.1551e-01
2 +4.512603981e+01 +4.512603981e+01 +1.613860398e+02 +1.613860398e+02 -4.1326e-01 -2.3180e-01 +1.5919e-01 +1.6913e-03 +7.6783e-01 -1.2397e-01 +1.6792e-01 +1.0914e-01 -3.0669e-01 +2.1329e-01 +4.8818e-01 +4.1241e-01 +4.8415e-01 +1.7491e-01 +3.6246e-01 +1.8261e-01 +5.3519e-02 +6.5731e-01 -4.3136e-01 +1.1706e-01
94 +3.938789061e+01 +3.938789061e+01 +1.556478906e+02 +1.556478906e+02 -1.5017e-02 +7.9994e-02 +8.6558e-01 -8.1590e-01 +2.9362e-01 +2.6382e-01 +4.2533e-01 -5.4166e-01 -3.2361e-01 +2.3991e-01 -4.7835e-01 -3.0480e-01 -2.3921e-01 -5.3830e-01 -4.3914e-01 -7.0459e-01 -6.4271e-02 -4.4924e-01 -4.9814e-01 -9.1488e-02
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.004164602e+01 +6.004164602e+01 -9.399583540e+02 -9.399583540e+02 +5.3918e-02 -3.5211e-01 +3.7766e-01 +5.2947e-01 +1.4811e-01 -2.4196e-01 -3.8511e-01 -5.6992e-01 +3.2042e-01 +5.3378e-01 -2.4822e-01 -6.9293e-01 -3.1362e-01 -1.9140e-01 -2.7145e-01 -4.0013e-02 +2.4448e-01 -5.9592e-01 +3.6457e-01 +3.5941e-01
71 +3.845886263e+01 +3.845886263e+01 -9.615411374e+02 -9.615411374e+02 -6.0774e-01 +3.9639e-01 +9.6993e-02 +8.4091e-01 +3.0870e-01 -5.0285e-02 +7.2188e-03 +4.4303e-01 +1.1391e-01 +5.9802e-01 +2.9900e-01 -7.7780e-02 +5.2301e-02 +1.6750e-01 -3.1472e-01 +9.8349e-02 +3.6162e-01 +7.3300e-01 +4.3354e-01 -1.6944e-01
% function evaluation | noise-free fitness - Fopt (-9.193000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.637110829e+02 +1.637110829e+02 +7.178108289e+01 +7.178108289e+01 -5.7461e-01 +3.0304e-01 -4.8137e-01 -4.9917e-01 +7.5239e-01 -6.0845e-01 -1.1935e-01 -5.2324e-02 +2.2621e-01 +1.9903e-01 +9.0522e-01 +2.0667e-01 +2.3267e-01 +3.2751e-01 +1.9063e-01 +6.9351e-02 +3.6407e-01 -2.6576e-01 +2.2861e-02 -3.0338e-01
2 +1.053032018e+02 +1.053032018e+02 +1.337320184e+01 +1.337320184e+01 -6.6189e-01 -4.0022e-01 +7.6778e-02 +5.7410e-01 +2.6748e-01 +3.3956e-01 +8.6780e-01 -6.0699e-01 -1.2641e-01 -6.3642e-02 -5.3857e-01 +4.5456e-01 -3.9388e-01 +5.3043e-01 -8.6508e-02 +3.8571e-02 +6.5060e-01 -2.1974e-02 -5.2421e-02 +7.0246e-02
3 +8.704886974e+01 +8.704886974e+01 -4.881130256e+00 -4.881130256e+00 +7.3422e-01 -7.0763e-01 -2.2436e-01 +3.9899e-01 +2.6378e-01 +4.5145e-01 -5.0951e-01 -9.5991e-02 +1.5210e-01 -4.2961e-01 +3.9899e-01 +5.9083e-01 +6.0605e-02 +3.1914e-02 -9.4699e-02 -1.9831e-01 -1.9215e-01 +7.1073e-01 -6.1900e-01 +4.0852e-01
% function evaluation | noise-free fitness - Fopt (1.487500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.520051890e+02 +1.520051890e+02 +3.007551890e+02 +3.007551890e+02 -2.7941e-01 -7.5315e-03 +1.8314e-01 -1.7401e-01 +2.0724e-01 -1.6691e-01 +6.0198e-01 -4.6035e-01 +2.1383e-01 +1.2636e-01 +5.4921e-01 +5.7459e-01 +2.0124e-01 -2.6220e-01 +9.7264e-03 -3.0612e-01 -1.8340e-01 +1.6309e-01 +5.3996e-01 -4.3581e-02
