% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.954161828e+01 +7.954161828e+01 +1.590216183e+02 +1.590216183e+02 -1.5310e-01 +1.9211e-01 -5.4352e-01 +4.6914e-01 +1.4416e-01 -6.4799e-02 -1.4333e-01 -5.1141e-01 -2.1554e-01 -2.2704e-01 -5.5757e-01 +1.4904e-01 -3.9804e-01 -4.6974e-01 +8.1748e-02 +2.7328e-01 +7.0970e-01 -5.0561e-01 -1.7710e-01 +1.1231e-01
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.311966606e+02 +1.311966606e+02 +5.256766606e+02 +5.256766606e+02 -4.4344e-01 +3.6645e-01 -2.1104e-01 +1.8962e-01 -3.2311e-01 -4.6418e-01 -1.9377e-01 +8.2199e-01 -5.7129e-01 -3.6852e-01 +3.6717e-01 +9.4127e-02 +4.7059e-01 +4.4914e-01 -7.7669e-02 +2.6236e-01 -2.7165e-01 +1.6770e-01 -5.7520e-02 +1.5105e-01
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.259693231e+02 +1.259693231e+02 -1.211406769e+02 -1.211406769e+02 -1.2903e-01 +5.1682e-01 -3.6353e-01 +1.7845e-01 +5.3385e-02 -1.0010e-01 +5.1343e-01 +9.0630e-01 +1.6569e-01 +2.4045e-01 +4.1884e-01 -1.7183e-01 +4.4437e-01 -1.3268e-01 -1.0562e-01 +4.8453e-01 +1.9616e-01 +1.2714e-01 -3.1613e-01 -5.6855e-01
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.083353857e+02 +1.083353857e+02 -4.370461431e+01 -4.370461431e+01 -4.1827e-01 +5.1855e-02 +1.5360e-02 -2.8601e-01 +7.0449e-01 -6.5222e-01 -3.1629e-01 -3.8507e-01 -1.8291e-01 +3.7974e-02 +9.3018e-02 -6.6633e-02 +5.2674e-02 -1.5610e-02 -1.2966e-01 -4.2239e-01 +5.0237e-01 +3.0014e-01 -3.0115e-02 +1.8325e-02
21 +9.118792102e+01 +9.118792102e+01 -6.085207898e+01 -6.085207898e+01 -1.1813e-01 +6.2812e-02 +9.4818e-02 -5.1615e-02 +3.1589e-01 +1.0394e-01 -5.0276e-01 -1.1086e-01 +4.3109e-01 +8.9286e-01 +2.8229e-01 -4.0514e-02 -7.3504e-01 +5.8614e-01 +4.2495e-01 +5.3927e-01 -1.7420e-01 -5.0017e-01 +2.7155e-01 +2.5741e-01
% function evaluation | noise-free fitness - Fopt (-2.525000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.094351938e+01 +7.094351938e+01 +4.569351938e+01 +4.569351938e+01 +3.7948e-01 +2.2129e-01 +1.1107e-01 -2.7153e-01 -4.0576e-01 -3.2154e-02 -5.3245e-01 -6.9309e-02 +1.6584e-01 -4.9905e-01 -7.3748e-02 +6.5835e-02 +4.6098e-01 -6.4023e-01 -5.9517e-01 +6.9292e-01 -5.8091e-01 -1.3614e-01 +3.5697e-01 -4.5766e-02
