% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.565880652e+02 +2.565880652e+02 +2.396480652e+02 +2.396480652e+02 -5.4694e-02 +2.9503e-01 +6.6559e-02 -6.5404e-01 -4.5033e-01 -3.5162e-01 +4.2140e-01 +1.8024e-01 -5.6686e-01 +1.9698e-01 -6.6483e-02 -3.9451e-01 -3.0006e-01 +2.1243e-01 -1.3737e-01 -7.0392e-02 +1.4060e-01 -5.1977e-01 +4.4508e-01 +3.6061e-01
2 +2.283286732e+02 +2.283286732e+02 +2.113886732e+02 +2.113886732e+02 +3.6039e-01 -9.0629e-02 +1.8733e-01 -4.3641e-01 +9.5763e-02 -7.8947e-01 +6.5014e-01 -7.0922e-01 -8.0977e-02 +5.9420e-01 -5.3937e-02 -3.5051e-01 +2.4898e-01 +2.1790e-01 +2.4684e-01 -2.4404e-01 -1.1720e-01 -4.5397e-02 -1.7300e-01 -5.4615e-01
6 +1.490382389e+02 +1.490382389e+02 +1.320982389e+02 +1.320982389e+02 -7.3514e-01 +5.5653e-01 -4.1886e-01 -3.1068e-01 +2.7596e-01 -6.5809e-01 +6.7128e-01 +8.1343e-02 -1.1680e-01 +9.5018e-02 -2.4506e-01 +4.4279e-01 +2.6776e-01 -5.8147e-01 +8.1682e-02 +1.6950e-01 -2.1193e-01 +5.2630e-01 +1.3532e-01 +5.5102e-01
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.045251331e+01 +7.045251331e+01 +8.926251331e+01 +8.926251331e+01 +1.0718e-02 -3.4779e-01 -7.5604e-01 -8.7267e-01 +1.3471e-02 +2.7719e-01 +5.8407e-01 -3.3305e-01 -6.1473e-01 -3.9631e-01 -5.9321e-01 +9.1757e-02 -5.0642e-01 +6.1335e-01 +2.3347e-01 +7.9768e-02 -1.2719e-01 -8.4071e-02 -8.1250e-01 -3.9198e-01
3 +5.969241794e+01 +5.969241794e+01 +7.850241794e+01 +7.850241794e+01 -8.3389e-02 +7.0700e-01 +8.5796e-01 -3.9065e-01 -8.0521e-02 +5.2757e-01 -7.7861e-01 +7.1555e-02 -3.2029e-01 +3.8885e-01 +3.8005e-01 -5.3166e-01 -5.7928e-01 +3.3845e-01 +3.4540e-02 -2.6918e-01 -4.9049e-01 +8.6657e-01 -1.1041e-01 -1.4203e-01
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.426053350e+02 +2.426053350e+02 +5.157553350e+02 +5.157553350e+02 -2.6039e-01 -4.7875e-01 -1.4796e-01 +5.9657e-01 +1.5239e-01 -3.6309e-01 +7.2218e-01 +7.3312e-02 -5.3205e-02 +3.9691e-01 -4.7203e-01 -3.5237e-03 +6.5196e-02 +3.7018e-01 -5.1322e-01 -4.4861e-01 +6.6649e-01 -4.8241e-01 +3.6597e-01 +3.1505e-02
11 +1.570894525e+02 +1.570894525e+02 +4.302394525e+02 +4.302394525e+02 +4.5651e-01 +6.3728e-01 +7.1238e-01 +7.1282e-01 +6.3050e-02 -9.2297e-01 +4.4510e-01 -7.8588e-01 +1.5606e-02 +3.0791e-01 -5.7437e-02 -4.1011e-01 -1.0890e-02 -4.7939e-01 -4.9242e-01 -4.1170e-01 -5.1721e-01 -9.2948e-02 -9.6266e-01 -5.4634e-02
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
