% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.731692863e+03 +1.731692863e+03 +1.761662863e+03 +1.761662863e+03 -2.1615e-01 -4.4115e-01 -1.4256e-01 +2.6815e-02 +6.2461e-01 -2.9314e-01 -2.2921e-01 -8.7482e-01 -5.6377e-01 -5.9424e-01 -1.5137e-01 -4.1049e-01 +2.1300e-01 -7.3276e-01 +4.0756e-01 +4.1492e-01 +1.5112e-01 +3.1179e-01 +1.7530e-01 +1.6419e-01
% function evaluation | noise-free fitness - Fopt (-5.171000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.535606092e+03 +2.535606092e+03 +2.483896092e+03 +2.483896092e+03 -3.4934e-01 -1.8061e-01 +8.0339e-01 -2.9550e-01 -4.6110e-01 +8.3568e-01 -3.9621e-01 +5.4345e-01 -2.3847e-03 -7.5312e-01 +2.7624e-01 +8.8957e-01 -3.0348e-01 +6.0259e-01 +4.2474e-01 -5.6213e-01 +2.1098e-01 +7.0363e-02 -1.3886e-01 -8.2835e-01
2 +2.263841755e+03 +2.263841755e+03 +2.212131755e+03 +2.212131755e+03 +2.2717e-01 -6.7010e-01 -3.3975e-01 +6.2547e-02 +4.7899e-01 +5.4424e-01 -5.8123e-01 +7.6069e-01 -3.1489e-01 -7.4987e-02 +4.6125e-01 +2.8065e-01 -3.2692e-01 -1.0042e-02 -1.6976e-01 +3.4564e-01 -7.1380e-01 -5.5961e-01 -4.6694e-01 +7.8768e-02
% function evaluation | noise-free fitness - Fopt (-2.799500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.047142699e+03 +2.047142699e+03 +1.767192699e+03 +1.767192699e+03 +5.9420e-02 -3.7270e-01 +4.1176e-01 -1.7190e-01 +3.9595e-01 +4.7764e-01 -1.4370e-02 -5.1001e-01 -3.6481e-01 -3.6114e-01 +6.6522e-01 +1.9312e-01 -3.4535e-01 -4.9526e-01 +7.6814e-01 -3.5441e-01 -2.9486e-02 -4.1207e-01 -1.4627e-01 -4.2799e-01
% function evaluation | noise-free fitness - Fopt (9.319900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.863204581e+03 +1.863204581e+03 +2.795194581e+03 +2.795194581e+03 +2.3556e-01 +4.6577e-01 +5.7072e-01 +1.6757e-01 -2.2741e-01 +1.0655e-01 -2.0425e-01 -2.9798e-01 -1.1811e-01 +1.2742e-01 +7.6359e-01 +8.3277e-01 +3.1905e-01 +3.6699e-01 -3.8407e-01 +2.6254e-01 +1.1849e-01 -4.4139e-02 +4.1807e-01 -3.2222e-01
% function evaluation | noise-free fitness - Fopt (1.133100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.146864234e+03 +2.146864234e+03 +2.260174234e+03 +2.260174234e+03 -3.3651e-01 -2.6151e-01 +3.9309e-01 -5.3032e-01 -6.5045e-01 -4.9928e-01 +1.2537e-01 +4.9704e-01 +4.2565e-01 -3.0591e-01 -2.0612e-01 -2.4949e-01 -4.5755e-01 +2.3224e-01 -5.3520e-01 -1.5264e-01 +6.7956e-01 -3.0003e-01 -5.1956e-01 -2.7006e-01
% function evaluation | noise-free fitness - Fopt (-9.519000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
