% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.986761078e+04 +2.986761078e+04 +3.001676078e+04 +3.001676078e+04 -2.6771e-02 +9.7778e-02 +4.8501e-01 +3.2767e-01 -1.7906e-01 -3.7575e-01 +4.8167e-01 +2.9674e-01 -2.3724e-01 -2.6259e-01 +5.0483e-01 -4.9719e-01 +3.4108e-01 -5.3879e-01 +4.9292e-02 +1.0477e-01 +6.8813e-02 +8.5605e-02 -8.5505e-01 -2.5393e-01
4 +1.833341027e+04 +1.833341027e+04 +1.848256027e+04 +1.848256027e+04 -2.4228e-02 +6.6493e-02 +1.7369e-01 +5.8736e-01 -4.6989e-01 -1.8975e-01 -7.7036e-01 -8.9064e-01 +4.9326e-01 -3.8667e-01 -1.1468e-01 +2.6066e-01 -2.2326e-01 -4.1706e-01 -8.9552e-02 +1.1131e-01 +1.0107e-01 -2.3784e-01 -6.3229e-02 -2.3064e-01
69 +1.486178262e+04 +1.486178262e+04 +1.501093262e+04 +1.501093262e+04 +2.3247e-01 -7.4183e-02 +2.0889e-01 +1.8628e-02 -7.5289e-01 +6.5358e-01 +4.0122e-01 -3.0927e-01 -2.1247e-01 -5.4654e-01 -5.6991e-01 +2.2970e-02 +5.4330e-02 +2.4591e-01 +1.5263e-01 -1.5371e-01 +7.5651e-02 +9.0943e-01 +8.2702e-02 +4.6836e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.062937778e+05 +1.062937778e+05 +1.052937778e+05 +1.052937778e+05 +3.9465e-01 -6.1175e-01 -4.2393e-01 +1.8793e-01 -4.4830e-01 -2.1219e-01 -6.5814e-02 -5.6575e-01 -9.8221e-02 -2.7975e-02 +1.3391e-01 +3.6032e-01 +1.3688e-01 +5.3232e-01 +2.8584e-02 +8.5373e-02 +3.7500e-01 +1.8719e-01 -5.5776e-02 -2.6785e-01
2 +9.311977789e+04 +9.311977789e+04 +9.211977789e+04 +9.211977789e+04 +2.0786e-01 -4.5613e-03 -3.5984e-01 -6.7446e-01 +1.0710e-01 -2.4210e-01 +2.1610e-01 +7.4547e-01 +5.7908e-02 +7.6225e-01 -6.6378e-01 -1.2941e-02 +7.6232e-01 -5.3681e-01 +5.4069e-01 -6.6290e-01 -2.3643e-01 +6.4669e-01 +2.7500e-01 -2.5324e-01
6 +5.969674806e+04 +5.969674806e+04 +5.869674806e+04 +5.869674806e+04 -3.8139e-01 -8.6294e-02 -5.1098e-03 +5.7050e-02 -3.6794e-01 +3.0208e-01 +2.6175e-01 +4.6641e-01 +3.7610e-01 +4.4402e-01 +4.9630e-01 -1.2613e-01 +3.9980e-01 -4.8702e-01 -2.3523e-01 -3.2478e-01 -6.7065e-02 -7.8593e-01 +4.8376e-01 -6.0525e-01
% function evaluation | noise-free fitness - Fopt (9.862000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.430229873e+04 +9.430229873e+04 +9.440091873e+04 +9.440091873e+04 +1.0292e-01 +2.1827e-01 +5.2721e-01 +3.5854e-01 -8.7438e-01 +4.4686e-01 +3.8943e-01 -5.2328e-01 -2.8121e-01 -7.3369e-01 -9.6899e-01 +3.1558e-01 -4.1889e-01 +2.5718e-01 +1.4662e-01 -4.5048e-01 -3.4144e-01 -1.3514e-01 -9.6008e-01 +1.7994e-01
29 +5.880729255e+04 +5.880729255e+04 +5.890591255e+04 +5.890591255e+04 -7.0735e-01 -4.9004e-01 +2.9992e-01 +1.5000e-01 +1.1624e-01 +7.7980e-01 +3.4801e-01 -2.6033e-01 -9.3162e-02 +5.1323e-02 +5.4644e-01 -1.7674e-01 -2.7407e-01 -7.9427e-01 -3.1889e-01 -8.0101e-01 -2.5998e-01 -3.5849e-01 +5.6440e-01 -5.2125e-01
% function evaluation | noise-free fitness - Fopt (-4.715000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.702765609e+04 +7.702765609e+04 +7.698050609e+04 +7.698050609e+04 +2.3895e-01 +4.4132e-01 +6.2201e-01 +7.3661e-01 -6.2978e-01 -1.1766e-01 +1.4220e-02 -9.5322e-02 +2.6368e-01 -3.1817e-01 -3.6244e-01 -4.9280e-01 +4.6591e-01 +1.4410e-01 -2.9545e-01 -6.5581e-02 +1.8328e-01 -4.2192e-01 -1.6156e-01 +4.9770e-03
14 +5.969542269e+04 +5.969542269e+04 +5.964827269e+04 +5.964827269e+04 +2.5324e-01 -3.3592e-01 -2.1348e-01 -2.5792e-02 +6.7211e-02 +5.5101e-01 -2.8932e-01 +3.0841e-01 +5.4215e-01 +3.3551e-01 -5.2021e-01 -2.0802e-01 +1.3331e-01 -4.0491e-01 +1.8319e-02 -2.3662e-01 -3.4626e-01 -4.7594e-01 -7.3241e-02 -7.1639e-01
% function evaluation | noise-free fitness - Fopt (3.752000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.792484136e+04 +4.792484136e+04 +4.796236136e+04 +4.796236136e+04 +9.0983e-01 -1.0635e-01 +1.0527e-01 +4.9127e-01 +3.9663e-01 -3.3353e-01 -6.6740e-01 +3.1550e-01 -5.1906e-01 -5.0026e-01 +1.0474e-01 -2.6718e-01 +7.6645e-01 -3.8933e-01 -6.8986e-03 -1.3242e-01 +2.2230e-01 +4.0175e-01 +8.4305e-02 +2.5031e-02
9 +3.803017850e+04 +3.803017850e+04 +3.806769850e+04 +3.806769850e+04 -4.6030e-01 +5.9039e-02 +6.2905e-01 -1.2411e-01 +1.2659e-01 -3.9909e-01 +6.9012e-01 +2.1878e-01 +8.4880e-02 -3.9383e-01 -6.7949e-01 -1.7426e-01 +3.0431e-01 -3.7692e-01 +4.9561e-02 -1.3475e-01 +7.8250e-01 -2.2599e-01 -6.5392e-01 -1.3274e-01
% function evaluation | noise-free fitness - Fopt (-2.980000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.628816469e+04 +7.628816469e+04 +7.625836469e+04 +7.625836469e+04 +1.3550e-01 +2.3174e-01 -1.9826e-02 +4.1183e-02 -4.3255e-01 -7.5349e-02 -3.7017e-01 -6.1600e-01 +4.7724e-01 +8.7337e-02 +1.6374e-01 +1.4650e-01 +5.5281e-01 +6.8131e-01 -7.7322e-02 +3.8608e-01 +8.8902e-02 -4.7510e-01 +1.0754e-01 -8.0098e-02
3 +5.362240637e+04 +5.362240637e+04 +5.359260637e+04 +5.359260637e+04 -2.4840e-01 +3.6686e-02 -6.8606e-01 +7.0851e-01 +2.4979e-02 +6.7714e-01 -1.3073e-01 -2.0372e-01 -4.1894e-01 -4.6319e-01 -6.7518e-02 +4.3298e-01 +3.3476e-01 +5.3339e-02 +3.4580e-01 -3.5156e-01 -2.6762e-01 -4.4281e-01 -4.6009e-01 +1.3323e-01
4 +3.958008096e+04 +3.958008096e+04 +3.955028096e+04 +3.955028096e+04 +1.9544e-01 +1.3096e-02 +5.0430e-01 +8.5834e-02 +4.2166e-02 +6.5878e-01 -3.2212e-01 -2.1554e-01 -8.0397e-02 -7.3518e-01 +7.0811e-01 -1.7563e-01 -4.0899e-01 +3.0035e-01 -1.1591e-01 -3.2143e-02 -3.6297e-01 -2.9618e-01 +1.8135e-01 +2.9575e-02
% function evaluation | noise-free fitness - Fopt (8.140000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.152368731e+04 +7.152368731e+04 +7.160508731e+04 +7.160508731e+04 -3.5945e-01 +7.1944e-02 +1.1012e-01 +2.5501e-01 +8.3622e-01 +2.2531e-01 +3.5350e-02 -3.3190e-01 -2.4967e-01 -2.9178e-01 -1.4012e-01 +3.5849e-01 -1.3310e-01 +1.3571e-01 +2.1587e-01 -2.3915e-01 +3.6689e-02 -4.9125e-01 +2.3559e-01 +1.7077e-01
26 +6.100801763e+04 +6.100801763e+04 +6.108941763e+04 +6.108941763e+04 +3.0824e-01 -1.2580e-01 +2.1472e-01 -7.2119e-01 +5.2618e-02 +4.3786e-01 -5.0690e-01 -4.4752e-01 -5.4835e-02 +4.9454e-01 -7.3437e-01 +1.1303e-01 -2.0408e-01 +4.8198e-01 -5.5472e-01 +1.3351e-01 -3.9526e-01 -4.6922e-01 -5.7011e-01 -3.7008e-03
% function evaluation | noise-free fitness - Fopt (-1.835000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.379162771e+04 +3.379162771e+04 +3.377327771e+04 +3.377327771e+04 -1.2351e-01 -3.7478e-01 +5.1644e-02 +1.3872e-01 -6.5929e-01 +2.5047e-02 +2.7275e-01 -2.6600e-01 -1.7923e-01 -1.1760e-01 +2.3908e-01 -4.9746e-01 +3.2946e-01 -1.5805e-01 -3.6153e-03 +1.4888e-01 +2.8736e-01 -4.1125e-01 +2.0027e-01 -1.0238e-01
51 +2.246601305e+04 +2.246601305e+04 +2.244766305e+04 +2.244766305e+04 -4.4888e-01 +5.4681e-01 +7.9048e-01 -5.3430e-02 -2.6965e-02 -5.9972e-01 -5.1161e-01 +3.6709e-02 -5.4138e-01 -4.1052e-01 -5.3278e-01 -7.1515e-01 -4.8836e-01 -1.6177e-01 -5.7923e-01 +6.2866e-01 -9.4124e-02 -3.5643e-01 -4.1388e-01 +6.0058e-02
% function evaluation | noise-free fitness - Fopt (-9.987000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.901371822e+04 +4.901371822e+04 +4.891384822e+04 +4.891384822e+04 -1.7710e-01 -1.8811e-01 +2.4281e-01 -3.8907e-01 -5.2120e-01 +7.3334e-01 -5.0752e-01 +8.9704e-02 +2.2918e-01 -2.0779e-02 -2.9633e-02 +5.7062e-01 -1.1345e-01 +5.2044e-01 -1.8898e-01 +8.8579e-01 -2.8447e-01 +3.2428e-01 -4.1989e-01 +1.6030e-01
11 +3.001441902e+04 +3.001441902e+04 +2.991454902e+04 +2.991454902e+04 -2.4456e-01 -8.1657e-01 +3.3073e-01 -7.2797e-01 -3.3502e-02 -3.5175e-01 -5.0799e-01 -3.4388e-01 +7.9495e-02 +1.3953e-01 -1.0496e-01 -5.5383e-01 +1.2151e-01 -1.9358e-01 -3.1453e-01 -2.1003e-01 +6.9945e-01 +9.7909e-02 +6.0719e-02 +2.5244e-01
% function evaluation | noise-free fitness - Fopt (7.680000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.034386422e+05 +1.034386422e+05 +1.034463222e+05 +1.034463222e+05 -7.1466e-01 +6.0619e-01 +1.5239e-02 +3.8116e-01 +1.7544e-01 +1.8748e-01 +4.3548e-01 -5.2420e-01 -4.7458e-01 -6.2123e-01 -1.6830e-02 -1.7731e-01 +3.3667e-02 -6.4382e-01 +1.6751e-02 +2.4731e-02 +1.0866e-01 -4.4099e-02 +2.5940e-01 +4.0589e-01
3 +7.474176761e+04 +7.474176761e+04 +7.474944761e+04 +7.474944761e+04 +3.2851e-01 +5.3098e-01 +3.0898e-01 -3.3813e-02 -3.6214e-01 -2.9820e-01 +5.3861e-01 -5.4646e-01 +2.5558e-01 +6.6026e-01 -1.1314e-01 +3.5960e-01 -2.1920e-01 +4.4712e-01 -1.8608e-01 -4.0588e-01 -3.9985e-01 +4.6652e-01 -4.3069e-01 +4.2464e-03
% function evaluation | noise-free fitness - Fopt (-1.809300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.632044877e+04 +7.632044877e+04 +7.613951877e+04 +7.613951877e+04 +3.9773e-01 -7.1568e-01 +2.4023e-01 -1.8105e-01 -5.0563e-01 +2.8834e-01 +8.9352e-01 -3.0527e-01 -2.2916e-02 -5.9269e-01 +3.2877e-01 +1.3775e-01 -4.9929e-01 +2.2739e-01 +1.6823e-01 +5.3814e-02 +5.1976e-02 -7.1068e-01 -1.1334e-01 +2.4525e-01
9 +6.080608951e+04 +6.080608951e+04 +6.062515951e+04 +6.062515951e+04 -6.3539e-01 -5.6863e-01 -3.1202e-01 -1.7750e-01 +3.9422e-01 -8.2227e-01 +2.3434e-01 +2.6853e-01 +6.9878e-02 -2.2322e-01 -7.2316e-02 -3.2136e-01 +2.4111e-01 +3.6891e-01 -1.9182e-01 -3.9540e-01 +1.9407e-04 -3.1729e-01 +8.4513e-02 -6.4724e-01
% function evaluation | noise-free fitness - Fopt (-3.674000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.237359785e+04 +7.237359785e+04 +7.233685785e+04 +7.233685785e+04 -5.8326e-01 -3.2859e-01 -1.5353e-01 -5.2607e-01 +8.9204e-02 +4.8942e-01 +2.0030e-01 +2.1153e-01 -3.4698e-01 -1.1565e-01 -4.2627e-01 +7.4304e-01 +3.1954e-01 -7.9559e-01 -1.3878e-01 -5.6529e-01 +8.0103e-01 -3.5543e-02 -2.7360e-02 +1.2094e-02
18 +5.216768814e+04 +5.216768814e+04 +5.213094814e+04 +5.213094814e+04 +3.1254e-01 +7.3354e-01 -7.1642e-01 +1.6332e-01 -5.1520e-01 -2.7858e-01 +2.1704e-02 -1.0486e-02 -4.3688e-01 -2.6505e-01 -5.8520e-02 +2.9152e-01 +3.8824e-01 -1.2199e-01 +8.8146e-02 +2.0506e-01 +6.2926e-01 +2.4398e-01 -6.6556e-01 +3.0486e-01
% function evaluation | noise-free fitness - Fopt (1.151100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.343476207e+05 +1.343476207e+05 +1.344627307e+05 +1.344627307e+05 +4.9157e-01 +1.3244e-01 +2.5772e-01 +2.5391e-02 -3.9350e-01 -1.8284e-01 +3.1725e-01 +5.5669e-02 -4.0115e-01 -5.5188e-01 +7.3557e-01 -3.1762e-02 -1.7927e-01 +2.8657e-01 +5.9357e-01 +8.4785e-01 -5.0629e-02 +3.4901e-01 -2.3666e-03 -4.4875e-01
13 +8.646954516e+04 +8.646954516e+04 +8.658465516e+04 +8.658465516e+04 -1.8799e-01 -4.7600e-02 -2.5622e-02 +9.1828e-01 +2.1958e-01 -2.8332e-02 -1.0550e-01 -2.9099e-01 -2.7314e-01 +3.7785e-01 -4.2706e-01 +7.5367e-02 -3.6254e-01 +1.4124e-01 -6.8113e-01 -8.4042e-01 -4.5607e-01 +7.0729e-02 -8.3420e-02 -2.7053e-01
% function evaluation | noise-free fitness - Fopt (1.759000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.185545927e+05 +1.185545927e+05 +1.185721827e+05 +1.185721827e+05 -2.6597e-01 +6.0960e-01 -3.4185e-01 -7.4184e-02 +7.6977e-02 +4.1291e-01 -1.4999e-01 +3.2697e-01 -3.8246e-01 +5.0328e-01 -1.4303e-01 -7.4426e-02 +8.8081e-01 +7.9796e-01 -7.2093e-01 -2.2411e-02 -2.9291e-01 +3.9959e-01 +6.8431e-02 -3.5058e-01
2 +8.713274975e+04 +8.713274975e+04 +8.715033975e+04 +8.715033975e+04 -3.4902e-01 +3.2741e-01 -2.6936e-01 +1.7388e-02 -3.2578e-01 +5.0571e-01 -1.4625e-01 -4.3414e-01 -3.3302e-01 -4.4995e-01 +6.2626e-01 -7.1184e-01 +7.3395e-03 -3.1548e-01 +3.3510e-01 -5.3340e-02 -8.6955e-02 -7.2687e-02 +2.8303e-01 -2.5551e-01
61 +5.997724774e+04 +5.997724774e+04 +5.999483774e+04 +5.999483774e+04 +2.0109e-01 -4.6728e-01 +3.5014e-01 -3.2880e-01 -1.1588e-01 +5.4901e-01 -1.6660e-01 -1.5502e-01 -5.4321e-01 -8.4903e-01 +1.4823e-01 -7.7269e-01 +1.3283e-01 -3.4370e-01 +6.6424e-02 -3.5534e-01 +1.1337e-01 -4.3842e-01 -7.1136e-01 -6.1519e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.256830220e+04 +7.256830220e+04 +7.356830220e+04 +7.356830220e+04 +8.5129e-02 -2.5634e-01 +3.4403e-01 -3.4035e-02 +5.3544e-03 -4.2623e-01 -3.4149e-01 -1.4265e-01 +1.7420e-01 -1.7109e-02 -8.5969e-01 +5.3766e-01 +1.7362e-01 +4.5777e-02 -4.0834e-01 -2.5286e-01 +4.8329e-01 +3.6208e-01 -4.7821e-01 -2.5628e-01
22 +5.406796433e+04 +5.406796433e+04 +5.506796433e+04 +5.506796433e+04 -7.9496e-02 -5.4960e-01 -5.3639e-01 +2.2387e-01 -3.1738e-01 -3.3454e-01 -3.4368e-01 -3.2643e-02 +3.2410e-01 -5.2607e-01 -6.3443e-01 +1.4606e-01 +4.5334e-01 -6.0496e-01 -2.7844e-01 -7.8275e-02 -4.3390e-01 -1.5531e-01 -8.4141e-02 -2.0010e-01
