% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.655827097e+01 +8.655827097e+01 +1.660382710e+02 +1.660382710e+02 -5.6277e-02 -4.0433e-02 +4.6928e-02 +6.1799e-02 +2.4870e-01 +4.5272e-01 +2.9439e-01 +2.6956e-02 -9.7934e-02 -4.0048e-01 +2.1441e-01 +4.0230e-01 -1.0427e-01 -5.6577e-01 +2.8129e-01 +3.9616e-01 -1.7837e-01 +1.5279e-01 -3.4894e-01 +6.2452e-01
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.495292923e+02 +1.495292923e+02 +5.440092923e+02 +5.440092923e+02 +8.3686e-01 +1.5583e-01 +3.9909e-01 +3.7608e-01 +2.6204e-01 -8.4545e-02 +1.4955e-01 +4.6705e-01 -7.9058e-01 -3.1315e-01 +4.2829e-02 -8.6098e-01 +7.7231e-01 -4.2090e-01 -5.9891e-02 +3.4707e-01 -3.2299e-01 -3.3381e-01 -1.9596e-02 +4.1650e-01
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.487861112e+02 +1.487861112e+02 -9.832388883e+01 -9.832388883e+01 +3.9002e-01 +6.9425e-01 +4.7296e-01 +8.4431e-01 +1.2277e-02 +1.1600e-01 -4.1915e-01 +1.4773e-03 +6.7435e-01 +3.5284e-01 -8.5427e-01 -3.8176e-01 -6.4300e-01 +1.7478e-01 -2.1825e-01 +5.3419e-01 +5.6470e-01 -6.5408e-01 -9.3141e-01 +2.0603e-02
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.094775801e+02 +1.094775801e+02 -4.256241991e+01 -4.256241991e+01 -5.6578e-01 -2.9365e-01 -6.0283e-01 +5.4417e-03 -2.7794e-01 +7.6763e-01 -1.6452e-01 +7.5880e-01 +5.4010e-01 -5.0042e-01 -2.7251e-01 -1.4963e-01 +3.0223e-01 +1.6632e-01 -6.8726e-02 +2.7313e-01 -3.0636e-01 +3.5027e-01 -8.3909e-02 +3.9421e-01
27 +9.667232567e+01 +9.667232567e+01 -5.536767433e+01 -5.536767433e+01 +2.4142e-01 +4.2219e-01 +9.1391e-02 +6.1861e-01 -5.5066e-02 +1.6721e-01 -2.1691e-01 -1.0101e-01 +3.4713e-01 -4.0304e-02 +3.5630e-01 +3.8142e-02 -7.5158e-01 +2.2510e-01 -2.1045e-01 +7.0458e-01 +2.9772e-01 +2.5283e-01 +3.7399e-01 +4.3954e-02
% function evaluation | noise-free fitness - Fopt (-2.525000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.926552368e+01 +6.926552368e+01 +4.401552368e+01 +4.401552368e+01 -4.4732e-01 +9.9542e-02 +6.1698e-01 +1.7439e-01 +1.9134e-01 -5.7409e-01 -2.0145e-01 -6.4051e-01 +3.4592e-01 -8.0832e-02 +5.3237e-01 +4.1448e-02 +9.7975e-02 -1.1295e-01 +1.0841e-01 -1.7052e-01 +4.2711e-01 -3.8486e-01 +2.3936e-01 -8.0416e-01
