% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.161189053e+06 +1.161189053e+06 +1.161265323e+06 +1.161265323e+06 -1.6660e-01 +4.9690e-01 +7.5272e-02 -3.8327e-01 -5.0431e-01 -2.5943e-01 -1.7540e-01 +1.1963e-01 +2.0553e-02 +4.2696e-02 -9.2475e-02 -4.3347e-01 -5.0032e-02 -4.7987e-01 -1.1147e-01 -8.7369e-01 +1.3852e-01 -3.6112e-01 +7.8290e-01 +1.9825e-01
2 +1.472745163e+05 +1.472745163e+05 +1.473507863e+05 +1.473507863e+05 +4.2728e-01 -8.3132e-02 -4.0589e-02 +4.5354e-01 -3.6402e-01 -3.7332e-01 -2.3218e-01 +2.0424e-01 +6.3341e-01 +4.0396e-01 +5.9006e-01 +6.2183e-01 -3.1286e-01 +4.9348e-01 +2.2405e-01 +3.9760e-01 +7.3769e-01 +6.5358e-02 +6.5723e-02 -7.3591e-01
4 +1.051011328e+04 +1.051011328e+04 +1.058638328e+04 +1.058638328e+04 +6.1639e-02 -2.1429e-04 -2.4167e-01 -8.5462e-01 -2.9286e-01 +5.4009e-01 -4.6229e-01 +6.7496e-01 -8.8328e-01 -5.6833e-01 +1.1715e-01 -1.3569e-02 +6.0387e-01 +6.1867e-01 +1.6065e-01 -8.5300e-02 +4.5108e-01 +9.8384e-02 +2.2286e-01 +2.1330e-01
19 +9.241251629e+03 +9.241251629e+03 +9.317521629e+03 +9.317521629e+03 +4.4711e-01 -2.0938e-01 -4.8060e-01 +7.6998e-02 -4.5453e-01 -4.3616e-01 -1.3129e-02 +3.0840e-01 +8.3174e-02 +6.8700e-01 -2.8221e-01 +4.9560e-01 +1.7929e-01 +6.6454e-02 -8.5669e-01 -2.6250e-01 +4.1090e-01 -4.0288e-01 -9.9925e-02 -2.3725e-01
54 +3.737779146e+03 +3.737779146e+03 +3.814049146e+03 +3.814049146e+03 +6.6935e-01 -6.0562e-01 -2.1881e-01 +2.4952e-02 +2.1688e-02 -4.8979e-01 +3.1564e-01 -2.1290e-01 +4.8231e-01 -2.1761e-02 +3.7262e-01 -5.4740e-01 +3.8686e-01 +7.6256e-01 -6.6837e-01 +3.1859e-01 +8.1687e-01 -2.2038e-01 +3.8623e-01 +4.8580e-03
% function evaluation | noise-free fitness - Fopt (-2.255000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.756080712e+05 +1.756080712e+05 +1.755855212e+05 +1.755855212e+05 +6.3712e-01 +4.1939e-01 +3.5953e-02 +1.5292e-01 -5.0395e-01 +5.7686e-01 -4.1144e-01 -1.6182e-01 +3.0095e-01 +3.8691e-01 +2.3916e-01 +4.7264e-01 -7.1505e-01 -2.4004e-01 -6.7184e-02 -3.4094e-01 +2.7304e-01 +4.8479e-02 +7.9540e-02 +7.5102e-01
2 +7.138500790e+04 +7.138500790e+04 +7.136245790e+04 +7.136245790e+04 +5.4181e-01 +2.8799e-02 +6.9233e-01 -1.4515e-01 +3.3010e-01 +6.6289e-01 -7.6685e-01 -4.3618e-01 +5.6474e-01 -1.5312e-01 +4.2559e-01 -7.5226e-01 +5.4760e-01 -3.9863e-02 -1.2993e-01 +2.9981e-01 -2.3721e-01 +3.2820e-01 +4.3380e-01 -1.0832e-01
4 +5.033463625e+03 +5.033463625e+03 +5.010913625e+03 +5.010913625e+03 -1.7784e-01 -6.2979e-01 -5.4723e-01 +3.2289e-02 -7.8009e-02 +9.3507e-01 +4.7347e-01 -3.7208e-01 +2.0219e-01 -1.8276e-01 -4.9477e-02 -1.4889e-01 +4.8305e-02 -1.8186e-01 +5.4493e-01 +3.4248e-01 +3.8650e-01 -1.6356e-01 -4.5447e-01 +4.0172e-01
6 +9.058817901e+01 +9.058817901e+01 +6.803817901e+01 +6.803817901e+01 +7.4884e-01 +6.7706e-01 +1.8313e-01 -2.6919e-02 +3.0408e-01 +6.5019e-01 +4.1067e-01 +2.2365e-01 -3.2089e-01 -2.8110e-01 +7.1572e-01 +1.4202e-01 +3.9237e-01 +6.4900e-03 -4.7642e-01 -1.3522e-02 -9.6226e-02 +7.1127e-02 +1.7922e-01 -3.5047e-01
% function evaluation | noise-free fitness - Fopt (1.366000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.009739125e+05 +3.009739125e+05 +3.009875725e+05 +3.009875725e+05 -7.6591e-01 -3.3674e-01 -1.7497e-01 -2.5720e-01 -2.4444e-01 -2.9708e-01 -4.1610e-01 -5.4545e-01 +4.9262e-01 +4.9544e-01 +5.2026e-01 -2.7096e-01 +4.4198e-01 -5.1019e-01 -3.8468e-01 +2.1228e-01 -7.1307e-01 -7.6419e-01 -2.1410e-01 +4.1593e-02
2 +1.903257914e+05 +1.903257914e+05 +1.903394514e+05 +1.903394514e+05 +3.6109e-01 -3.0000e-02 +8.7948e-01 +5.0180e-01 +7.6846e-03 +1.7359e-02 +3.3895e-01 -3.1893e-01 -3.0154e-01 +6.4989e-01 +2.8502e-01 +1.3675e-01 -1.4274e-01 +1.5404e-01 -3.1327e-01 -7.1923e-01 +1.8001e-01 -1.4856e-01 +1.5521e-03 -2.3032e-01
3 +7.064215377e+04 +7.064215377e+04 +7.065581377e+04 +7.065581377e+04 -7.8212e-01 +5.3169e-01 -1.5417e-01 -3.6075e-01 -1.7149e-01 -5.6123e-01 +4.8991e-01 -2.2441e-02 +5.4820e-02 +6.8775e-01 +3.4557e-01 +7.4950e-01 +2.7244e-01 +5.9199e-02 +4.3158e-03 -6.4493e-02 +1.3576e-01 +3.1756e-04 +3.4628e-01 -2.7334e-01
8 +3.523711493e+03 +3.523711493e+03 +3.537371493e+03 +3.537371493e+03 +3.0846e-01 +7.9588e-02 -4.3784e-01 +7.2756e-01 -1.7757e-01 -2.8901e-01 +6.7581e-01 +1.2552e-01 +3.3169e-01 -4.1240e-01 -2.7052e-01 +3.3949e-01 -4.0938e-01 -1.0061e-01 +5.0465e-01 -1.5766e-01 +6.8909e-02 +1.0226e-01 -2.1930e-01 -2.5966e-01
82 +2.171156449e+03 +2.171156449e+03 +2.184816449e+03 +2.184816449e+03 +3.5732e-01 -3.0398e-01 +4.6090e-01 +2.4862e-01 +1.2692e-02 +1.1652e-01 +5.3500e-01 -7.7115e-03 -4.1785e-01 +2.3697e-01 +8.7635e-01 +1.3828e-01 -3.8869e-01 -4.6535e-02 +2.9924e-01 +3.4236e-01 +3.7290e-01 +3.8466e-01 -6.5961e-01 -4.1861e-01
90 +1.457488619e+03 +1.457488619e+03 +1.471148619e+03 +1.471148619e+03 +3.4245e-01 +7.3332e-01 +3.5109e-01 -2.7365e-01 +4.4509e-01 -7.4453e-01 +9.6861e-02 -4.5099e-01 +3.9482e-01 +4.2212e-01 -3.4438e-01 -3.1569e-01 -2.2101e-01 +6.0448e-01 -5.8165e-01 -1.3057e-02 -3.1148e-01 -5.6469e-01 -4.6956e-01 +1.5469e-01
% function evaluation | noise-free fitness - Fopt (9.378400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.226115623e+06 +2.226115623e+06 +2.227053463e+06 +2.227053463e+06 -3.0660e-01 -1.7022e-01 +1.9419e-01 -7.5232e-01 -3.9664e-01 -7.6998e-02 -1.4092e-01 -2.9718e-01 +1.2567e-01 +6.8253e-02 -3.8080e-01 +6.8894e-01 +3.5183e-01 -2.9225e-01 -3.1865e-01 -1.1182e-01 -1.7842e-02 +6.1695e-02 -6.6519e-02 +3.6712e-01
