% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.019061253e+01 +6.019061253e+01 +1.315406125e+02 +1.315406125e+02 -6.6827e-01 +3.0039e-01 -2.4180e-01 -1.8417e-01 +5.6928e-01 -2.0625e-01 +1.3540e-01 +9.3905e-01 -1.4679e-01 -8.9260e-02 +8.8689e-01 +2.5374e-01 +7.2254e-01 -1.8836e-01 -4.1181e-01 +7.5307e-02 +3.4083e-02 +3.9166e-02 -3.9945e-02 +4.6379e-03
92 +3.936551945e+01 +3.936551945e+01 +1.107155194e+02 +1.107155194e+02 -6.7113e-01 -9.3144e-02 +2.3515e-01 -2.0460e-01 +2.6401e-01 -5.0550e-02 +1.0622e-01 +5.6972e-01 -4.4113e-02 +7.4460e-01 -6.1365e-02 +6.0206e-02 +7.8698e-01 +6.8843e-01 +8.2418e-01 +3.0734e-01 -4.0866e-01 -1.4353e-01 +4.7581e-01 -4.7163e-01
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.745586924e+01 +7.745586924e+01 -2.777641308e+02 -2.777641308e+02 -1.4897e-01 -7.4710e-01 +4.1942e-01 +2.3844e-01 -7.1559e-01 -3.8717e-01 +1.6063e-02 +3.9770e-01 -5.8218e-02 -5.1191e-01 +6.2434e-02 -6.8869e-01 +4.9016e-01 -1.3578e-01 -5.1327e-01 +2.8213e-01 -4.8274e-01 -1.9671e-01 -1.8004e-01 +4.5386e-01
15 +5.415772950e+01 +5.415772950e+01 -3.010622705e+02 -3.010622705e+02 +3.6829e-01 +4.4266e-01 +6.2804e-02 +2.2098e-01 -1.0947e-01 +2.9607e-02 -4.5839e-01 +2.0342e-01 +4.4773e-02 +1.8740e-01 +7.2521e-01 -2.8766e-01 -5.3232e-01 -1.8130e-01 +8.7489e-02 -6.6574e-02 +8.5383e-01 +3.2176e-01 +2.0252e-01 +1.0330e-01
% function evaluation | noise-free fitness - Fopt (9.917000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.118565846e+02 +1.118565846e+02 +2.110265846e+02 +2.110265846e+02 +5.2501e-02 -7.5734e-01 +5.5337e-01 +2.6691e-01 +2.8660e-01 -7.2757e-01 -5.6882e-01 -3.5341e-01 -2.1445e-01 +3.3027e-01 -2.9384e-01 +4.1745e-01 -1.3912e-01 -1.7258e-01 +4.6685e-01 -3.5777e-03 +6.7467e-01 +4.0313e-01 +5.0305e-01 +3.5913e-01
4 +8.349489133e+01 +8.349489133e+01 +1.826648913e+02 +1.826648913e+02 +1.5196e-01 -7.9995e-01 +5.3199e-01 +1.6251e-02 -1.3535e-02 +5.9655e-01 -2.3806e-01 -7.3585e-01 -2.3807e-01 +3.1864e-02 +4.9631e-01 +6.0528e-01 +4.1195e-01 +8.7231e-02 +3.9931e-01 -5.4426e-01 +2.6168e-01 +7.5462e-01 +6.7632e-01 +5.5306e-01
18 +5.826819789e+01 +5.826819789e+01 +1.574381979e+02 +1.574381979e+02 +7.1463e-01 +1.3459e-01 -7.8471e-02 -4.5948e-01 +2.4571e-01 -2.5613e-01 -3.5022e-01 -8.7492e-01 -5.3934e-01 -4.0047e-01 -7.7391e-01 -3.2831e-02 -2.6607e-01 -7.0750e-02 +1.7737e-01 -2.0182e-01 +2.2258e-01 +7.5034e-02 -7.4109e-01 -3.2155e-02
% function evaluation | noise-free fitness - Fopt (-5.179100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.961768058e+01 +4.961768058e+01 -4.682923194e+02 -4.682923194e+02 +4.7690e-03 +3.0475e-01 +6.2679e-01 +4.5934e-01 +3.0345e-01 -2.0042e-01 +1.8089e-01 +5.8712e-01 +3.7284e-02 +1.2764e-01 +5.0722e-01 -2.9836e-02 -9.4503e-01 +1.9058e-01 -1.1127e-01 -1.6180e-01 -3.1026e-02 -3.9834e-02 -2.5110e-02 -2.9558e-01
28 +3.002435165e+01 +3.002435165e+01 -4.878856483e+02 -4.878856483e+02 -6.6990e-01 +5.5199e-01 +7.4470e-01 +1.5088e-01 +1.7353e-02 -5.4944e-01 -3.5157e-02 -3.8828e-01 -5.3267e-01 +6.1650e-02 -1.3845e-01 +8.5007e-01 +1.3140e-01 -2.3590e-01 -1.0818e-02 -1.4560e-01 -4.0023e-03 -4.5698e-02 -3.2611e-01 +4.5337e-01
% function evaluation | noise-free fitness - Fopt (-5.721000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.249554368e+01 +6.249554368e+01 +5.285543684e+00 +5.285543684e+00 -4.0197e-01 +1.9958e-01 -4.8068e-01 +4.6085e-01 -8.2208e-01 +3.2887e-01 -1.8638e-01 +5.8237e-02 +2.2245e-01 -2.8672e-01 -1.3480e-01 -2.5612e-01 +2.6869e-01 +1.2805e-01 -4.4519e-01 -4.1619e-01 -4.4907e-02 -2.4845e-01 -5.7219e-02 +3.9649e-01
% function evaluation | noise-free fitness - Fopt (6.770000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.605418688e+01 +8.605418688e+01 +9.282418688e+01 +9.282418688e+01 +1.9582e-01 -1.7845e-01 -4.4240e-01 -1.4519e-01 +6.6083e-01 -8.1279e-01 +1.3614e-01 -1.2124e-01 +7.9319e-02 -1.5385e-01 +6.2080e-01 +2.7903e-02 -4.8918e-01 -1.4249e-01 +1.3903e-01 -2.4865e-02 -3.8191e-01 +6.9415e-01 +5.2196e-01 +7.4764e-02
6 +6.154805466e+01 +6.154805466e+01 +6.831805466e+01 +6.831805466e+01 -2.0752e-01 -7.8381e-01 +7.3572e-02 +9.0591e-01 -2.4090e-01 -9.0463e-02 -2.5971e-01 -8.3844e-01 -2.3227e-01 -6.8081e-01 +8.0969e-01 -1.1599e-01 +1.3622e-01 +1.4991e-01 +2.1879e-01 -4.3688e-01 -5.3534e-01 -1.1541e-01 +4.8502e-01 +9.9961e-02
% function evaluation | noise-free fitness - Fopt (-1.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.765665644e+01 +7.765665644e+01 +6.687665644e+01 +6.687665644e+01 +3.2164e-01 -1.7035e-01 -1.9427e-01 +5.8916e-01 +7.5267e-02 -1.5259e-01 +2.5472e-02 -1.3535e-02 -2.4341e-01 +2.0536e-01 +3.0737e-01 -3.3080e-01 +1.1382e-01 +1.1598e-01 -9.3968e-02 -4.0157e-01 +1.2276e-01 +2.8078e-01 +4.0828e-02 +2.0205e-01
17 +4.720486535e+01 +4.720486535e+01 +3.642486535e+01 +3.642486535e+01 +4.1581e-02 +5.2328e-01 +7.9588e-01 +5.9700e-01 +9.4227e-02 +6.1095e-01 +3.6264e-01 -2.7127e-01 -1.1046e-01 +1.5310e-01 +1.6270e-01 -5.3283e-01 -4.1803e-01 -5.2458e-01 +5.9220e-02 +3.0188e-01 -5.5319e-01 -1.9214e-01 -8.4799e-02 +4.4610e-01
% function evaluation | noise-free fitness - Fopt (-1.645900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
