% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.089629490e+01 +1.089629490e+01 -9.165370510e+01 -9.165370510e+01 +2.5104e-01 +2.4345e-02 -6.6508e-02 +6.6878e-01 +3.2764e-02 -6.5589e-01 -7.3225e-01 +2.6155e-01 -7.7518e-01 -3.0575e-01 -4.8139e-01 +1.9095e-01 +1.3696e-01 +8.3663e-01 +6.5439e-01 +5.8681e-03 +7.0929e-01 +1.4119e-01 +6.0108e-01 -7.5882e-02
2 +8.968558050e+00 +8.968558050e+00 -9.358144195e+01 -9.358144195e+01 +9.8246e-02 +1.4364e-01 -1.9432e-01 +2.1627e-01 -6.2671e-01 +2.3835e-03 -3.6282e-03 +6.1724e-01 -5.7305e-02 -6.5682e-01 +3.2921e-01 +2.9081e-02 +8.3620e-01 +2.7095e-01 +5.7527e-01 +6.1727e-01 -1.7991e-01 -5.8961e-01 +5.5067e-01 -7.8288e-03
% function evaluation | noise-free fitness - Fopt (7.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.035689314e+01 +1.035689314e+01 +8.204689314e+01 +8.204689314e+01 +4.6481e-01 +3.4079e-01 -2.9692e-01 -4.2350e-01 -2.0226e-01 +1.6678e-02 +7.8463e-01 -1.9337e-01 +5.5855e-01 +1.7302e-01 -3.2058e-01 -3.8412e-01 -8.4806e-01 +3.1188e-01 -4.6762e-01 -1.7065e-01 -6.9913e-02 -2.2129e-01 +2.3818e-01 +2.9553e-01
2 +8.541591404e+00 +8.541591404e+00 +8.023159140e+01 +8.023159140e+01 -2.2736e-01 +3.3305e-01 -2.1927e-01 +3.4734e-01 +3.1117e-01 +1.8316e-01 -8.1324e-02 -4.2034e-01 +2.1591e-01 +7.4778e-01 -3.4850e-01 -1.6635e-02 -1.8321e-01 -3.3470e-02 -2.2574e-01 -6.0358e-02 +4.8650e-01 -8.3188e-02 -2.3945e-01 +7.8900e-01
100 +5.926204503e+00 +5.926204503e+00 +7.761620450e+01 +7.761620450e+01 +5.1820e-01 +1.8720e-02 +4.7058e-02 +6.7840e-01 -9.1971e-02 +3.1244e-01 +1.0802e-01 -2.8712e-01 +1.5645e-02 +2.1057e-01 -2.0795e-01 +1.4723e-02 +8.9017e-02 +2.4580e-01 -4.0878e-01 -2.1832e-01 -2.4708e-01 +1.8542e-01 -3.9710e-01 -1.1873e-01
% function evaluation | noise-free fitness - Fopt (2.140100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.149167468e+01 +1.149167468e+01 +2.255016747e+02 +2.255016747e+02 -2.9128e-01 +1.4513e-01 -4.9971e-01 -6.2433e-01 -2.5015e-01 -3.5837e-01 -7.6607e-01 +1.1574e-01 +8.1944e-01 -3.1305e-01 -2.1829e-01 +4.4186e-01 +3.8528e-01 -8.5294e-01 +4.5541e-02 -2.9706e-01 -8.6824e-01 +1.5654e-01 -3.6295e-02 -7.7165e-01
5 +6.460348977e+00 +6.460348977e+00 +2.204703490e+02 +2.204703490e+02 +4.2894e-01 -1.7181e-01 +2.3332e-01 +7.3461e-01 -6.8522e-01 +2.9466e-01 +8.5462e-01 +5.4544e-01 -1.0210e-01 -2.9876e-01 -3.8580e-01 -2.6037e-01 -2.4649e-01 +1.2226e-01 -2.6323e-01 -3.2071e-01 -5.6279e-01 +1.7880e-01 +7.6291e-02 +3.4451e-01
72 +5.694527765e+00 +5.694527765e+00 +2.197045278e+02 +2.197045278e+02 -3.3214e-02 -1.6298e-01 +8.0022e-01 +1.0713e-01 +1.1368e-01 -6.2287e-02 -4.0129e-01 -2.0751e-01 +5.8846e-01 -7.6080e-01 -1.3974e-01 +2.4498e-01 +1.7343e-01 +2.7968e-01 +2.5621e-01 -3.2868e-01 +1.0369e-01 +1.8123e-01 +3.4730e-01 +3.9653e-02
