% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.228812554e+07 +1.228812554e+07 +1.228791566e+07 +1.228791566e+07 -4.5309e-01 +1.6069e-01 -1.0111e-01 -2.5354e-01 +4.3257e-01 +1.7651e-01 -6.3357e-01 +5.7862e-01 -1.1308e-03 +1.7914e-01 -8.6769e-02 +4.0442e-02 +1.1711e-01 -6.4088e-02 -4.9741e-01 -1.4667e-01 -5.5654e-01 +6.3828e-02 +5.2532e-01 -2.5160e-01
3 +9.475669869e+06 +9.475669869e+06 +9.475459989e+06 +9.475459989e+06 -1.7092e-01 -3.2784e-01 +4.2121e-02 -6.3894e-02 -6.6279e-01 +5.7260e-01 +8.0383e-01 -7.0543e-01 +3.4093e-01 +8.4343e-02 -2.4668e-01 -5.2797e-01 -5.5387e-02 -8.5124e-02 +1.1781e-02 +6.1301e-01 +3.9775e-02 +7.5483e-01 -4.3523e-01 -1.3899e-01
% function evaluation | noise-free fitness - Fopt (-9.209000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.180013981e+06 +7.180013981e+06 +7.179921891e+06 +7.179921891e+06 -2.8809e-01 -4.6946e-01 -1.5656e-01 -9.2001e-01 +2.2109e-01 +4.6113e-02 +4.8411e-01 +1.1552e-01 -4.0792e-01 +5.7693e-01 -3.1678e-01 -3.8609e-01 -4.4318e-02 +4.1239e-01 +1.0684e-01 +2.3917e-01 +4.5007e-02 +7.0192e-01 +5.1800e-01 +2.0619e-01
% function evaluation | noise-free fitness - Fopt (-8.789000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.377540131e+06 +9.377540131e+06 +9.377452241e+06 +9.377452241e+06 +3.5962e-01 -2.2475e-01 -3.1390e-01 -4.0772e-02 +2.9892e-01 -6.8314e-01 +5.1271e-01 -5.4369e-01 -1.0006e-01 -6.9781e-01 +4.9374e-01 +1.4556e-02 -6.9243e-02 -4.9674e-01 -3.9158e-01 -1.4225e-01 +3.5992e-01 +3.1711e-01 +3.3052e-01 +4.5971e-01
% function evaluation | noise-free fitness - Fopt (3.201900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.821051707e+06 +6.821051707e+06 +6.821371897e+06 +6.821371897e+06 +7.9684e-01 +5.6987e-01 +6.6578e-01 +4.0819e-01 -1.0171e-01 -8.5145e-01 +3.3132e-01 -4.7298e-01 -7.6161e-01 -5.6416e-01 +6.1953e-03 +6.0668e-02 +3.5975e-01 -2.5041e-01 -5.3039e-01 -1.4969e-01 -7.3956e-01 -1.3152e-01 +2.8716e-01 +1.6785e-01
16 +5.625622190e+06 +5.625622190e+06 +5.625942380e+06 +5.625942380e+06 -3.5502e-01 +1.0006e-01 +2.4543e-01 -4.8405e-01 -3.8702e-01 +3.6622e-01 -6.6105e-01 +3.2659e-01 -6.3786e-01 +2.0605e-01 -4.1477e-01 +5.4823e-02 +6.0763e-02 -2.7126e-01 +6.2028e-01 +7.7063e-02 -9.0597e-01 +5.6871e-01 +2.9175e-01 +5.7068e-01
93 +3.766436629e+06 +3.766436629e+06 +3.766756819e+06 +3.766756819e+06 -3.0821e-01 -6.2535e-02 +3.0001e-01 +1.1509e-01 +5.2308e-01 +1.4707e-01 -6.7865e-01 -2.0222e-01 +6.0586e-01 +1.6990e-01 +3.2375e-01 -4.4591e-01 +1.8458e-02 +6.4835e-01 +3.5790e-01 +8.0966e-01 +4.8826e-01 +5.2430e-01 +6.9278e-01 +5.5652e-01
% function evaluation | noise-free fitness - Fopt (-1.042400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.453913277e+07 +2.453913277e+07 +2.453902853e+07 +2.453902853e+07 +1.4634e-01 +2.6234e-01 +3.2311e-01 +9.9092e-01 +6.5457e-01 +1.1396e-01 -1.3121e-01 +2.5594e-01 -7.9179e-01 +5.4124e-01 +7.5323e-01 +5.3216e-02 +8.0484e-01 +2.4410e-01 +3.7997e-02 +2.0697e-01 -2.7673e-01 +6.8133e-01 -3.4959e-01 +3.7524e-01
5 +1.480259744e+07 +1.480259744e+07 +1.480249320e+07 +1.480249320e+07 -1.1298e-01 +1.8750e-01 +1.3654e-01 +4.9335e-01 -3.4210e-01 +1.8644e-01 -5.5326e-01 +5.9772e-01 -1.2314e-01 +6.0316e-01 +3.8808e-03 -2.9168e-02 -4.5272e-01 +1.1150e-01 +6.8194e-03 +2.9392e-01 +2.6747e-01 -3.4038e-01 -3.0441e-01 -6.0473e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.018274551e+06 +3.018274551e+06 +3.017274551e+06 +3.017274551e+06 +1.0186e-01 -3.8545e-01 -1.9304e-01 -2.1319e-01 -5.5213e-01 +7.9117e-03 -6.5507e-01 +4.9862e-01 +7.7705e-02 +1.5067e-01 -4.8051e-01 +4.8285e-01 +5.9392e-02 -6.8759e-01 +4.1709e-01 +3.3985e-01 +7.2874e-01 -5.0657e-01 -3.9403e-01 +2.7845e-01
% function evaluation | noise-free fitness - Fopt (-3.629000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.243332826e+06 +3.243332826e+06 +3.243296536e+06 +3.243296536e+06 -2.0083e-01 +2.6301e-01 +6.0715e-01 -7.1939e-01 +2.5363e-01 -4.3850e-01 +2.0371e-01 -1.8101e-01 +3.8290e-01 -6.7559e-01 +5.2851e-02 -1.4221e-01 -2.2694e-01 -5.4787e-01 +9.0243e-02 +3.9965e-01 -6.7621e-02 +3.6237e-01 -2.2914e-01 -1.3672e-02
51 +2.465878308e+06 +2.465878308e+06 +2.465842018e+06 +2.465842018e+06 -2.7193e-01 -2.0219e-01 +1.5150e-01 +5.3126e-01 +5.6256e-01 -9.1000e-01 +5.2611e-01 -6.4025e-02 +2.3527e-02 -4.0350e-01 +8.3360e-02 +7.4994e-01 -2.1757e-01 +6.0935e-01 -1.5451e-01 +4.7211e-02 -6.1032e-02 +6.4652e-01 -6.2851e-01 +3.5579e-01
% function evaluation | noise-free fitness - Fopt (-4.840000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.907870961e+06 +4.907870961e+06 +4.907822561e+06 +4.907822561e+06 -6.7690e-01 +6.2492e-01 -2.8157e-01 -2.8655e-01 -5.9007e-01 -6.3567e-01 -4.4444e-01 +3.9489e-01 +6.8406e-01 +3.4713e-01 +9.3051e-02 +7.7072e-01 -4.2646e-01 -3.2964e-01 -1.7720e-01 -2.5485e-01 +5.7952e-01 +4.4607e-01 -3.2247e-01 +2.6196e-02
8 +2.798653513e+06 +2.798653513e+06 +2.798605113e+06 +2.798605113e+06 +6.1483e-01 +1.1519e-01 +1.8087e-01 +2.3223e-01 +1.8547e-01 +2.1207e-01 -1.0816e-02 -5.9628e-01 -2.9370e-01 +2.2927e-01 -5.5494e-02 -3.2058e-01 -5.5698e-01 -8.7526e-01 +3.2785e-02 -3.7670e-01 -4.8535e-01 -5.0901e-01 -8.5282e-01 -7.6328e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.914456531e+06 +6.914456531e+06 +6.915456531e+06 +6.915456531e+06 +2.1891e-02 +3.7297e-01 -5.1797e-02 -9.0222e-01 +1.5636e-02 -8.7263e-01 -6.0025e-01 -5.0719e-02 +2.2297e-01 -7.9166e-02 +1.8168e-01 -2.3574e-01 -1.7669e-01 +5.6584e-01 -2.1312e-01 -9.2789e-01 +1.5597e-01 -2.5361e-01 -3.4066e-01 +3.0704e-01
4 +6.308296811e+06 +6.308296811e+06 +6.309296811e+06 +6.309296811e+06 -2.5547e-01 +1.2804e-01 -1.4020e-01 -3.9105e-01 +3.0821e-01 +6.2905e-01 -3.5085e-01 -4.4332e-01 +2.1337e-01 +5.8295e-01 +5.0183e-01 +2.7373e-01 +7.8490e-01 +4.1486e-01 +2.4369e-01 -2.6209e-01 +5.4858e-01 +8.2923e-01 +5.0733e-01 -3.2380e-01
10 +3.912907701e+06 +3.912907701e+06 +3.913907701e+06 +3.913907701e+06 -6.6322e-01 +6.9887e-01 -6.1843e-01 -2.0474e-01 +1.2305e-02 -7.9355e-01 +5.2657e-01 -3.1732e-01 +3.9645e-01 +3.0502e-02 +3.6919e-01 +2.6672e-01 -3.3519e-01 +6.4995e-01 -5.2147e-01 -6.5680e-02 +4.5663e-01 +2.5751e-02 +2.5511e-02 +8.0710e-01
