% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.548299948e+02 +7.548299948e+02 +2.927399948e+02 +2.927399948e+02 +1.5376e-01 +7.0463e-02 +7.6763e-01 +4.9019e-01 +4.0506e-01 -9.7409e-02 +1.7632e-01 -2.2799e-02 -2.3453e-01 +6.6854e-01 -4.3485e-01 -4.4810e-03 +6.2962e-02 +5.3505e-01 +3.4025e-01 +8.3086e-01 -3.3818e-01 -8.9427e-02 +1.8660e-03 -1.5371e-01
9 +5.255405507e+02 +5.255405507e+02 +6.345055074e+01 +6.345055074e+01 +1.9051e-01 +1.6428e-03 +5.8145e-01 +5.1097e-01 +2.5717e-01 +7.0937e-02 +2.8910e-01 -3.9293e-01 +8.9087e-02 +9.3378e-02 +4.0308e-01 +3.6587e-02 -2.9370e-01 -1.8119e-01 +2.5553e-01 -1.9343e-01 -2.0371e-01 +7.5126e-01 +4.1492e-01 +3.7351e-01
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.071446776e+02 +7.071446776e+02 +7.848046776e+02 +7.848046776e+02 -5.3950e-01 +3.7122e-01 -2.1672e-02 +5.3655e-01 -3.1262e-01 +6.7931e-01 +6.1101e-01 -1.4178e-01 -3.5687e-01 +2.4661e-01 -8.2774e-01 -4.5444e-01 +4.4455e-01 +3.5894e-01 -4.1372e-01 -5.0602e-01 -1.9911e-02 +2.9953e-01 -7.8762e-01 -9.4762e-01
7 +5.779544406e+02 +5.779544406e+02 +6.556144406e+02 +6.556144406e+02 -7.3568e-01 -2.5210e-01 +2.7094e-01 +1.5160e-01 +4.2785e-02 -1.2154e-01 -4.0950e-01 -4.5170e-01 -3.7544e-01 -2.5299e-01 -5.3142e-01 -4.3672e-01 -6.0651e-01 -3.6863e-01 +6.4450e-02 +2.5886e-01 -2.4619e-01 +5.5404e-01 -3.1602e-01 -4.4618e-01
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.491094621e+02 +7.491094621e+02 +8.647894621e+02 +8.647894621e+02 +6.3794e-01 +4.0040e-01 -1.1272e-01 +1.1087e-01 +4.3078e-01 -3.6738e-01 +4.0030e-01 +4.1467e-01 -9.7460e-01 -1.0022e-01 -1.9615e-01 +3.0186e-01 +6.1324e-01 -8.6319e-02 +1.5900e-01 -4.3117e-01 +1.3159e-01 +1.5511e-01 -3.6174e-01 +9.9943e-02
15 +6.236902165e+02 +6.236902165e+02 +7.393702165e+02 +7.393702165e+02 +1.7245e-01 -3.6785e-03 -2.1216e-01 -2.5916e-01 -4.6564e-01 +2.4814e-01 -4.6543e-01 -6.0697e-02 +3.8425e-01 +2.0025e-01 -9.5435e-02 +2.1305e-01 +4.8989e-01 -2.2778e-01 +3.4378e-01 +1.2493e-01 +3.2562e-01 +1.7852e-01 +3.1003e-01 -5.2637e-01
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.888995611e+02 +6.888995611e+02 +6.851895611e+02 +6.851895611e+02 -8.6666e-01 -2.8614e-01 -3.2678e-01 -4.0560e-01 +3.0834e-01 -8.9605e-01 +2.5319e-01 -4.6223e-01 +9.7978e-01 +5.9288e-02 +5.2941e-01 +5.6600e-01 +3.4664e-01 +4.5218e-02 +3.3455e-01 -6.3512e-01 +2.5987e-01 -2.5095e-01 -1.8359e-01 -7.5737e-01
4 +6.235326312e+02 +6.235326312e+02 +6.198226312e+02 +6.198226312e+02 -3.3565e-01 +2.9752e-01 -2.1156e-01 +4.6916e-01 -3.1919e-01 +2.3617e-01 -2.4489e-01 +2.7623e-02 +1.6418e-01 -1.0859e-02 +6.4821e-03 -2.2144e-01 +5.4430e-01 +5.7412e-01 -2.9968e-01 -3.6425e-01 +4.3474e-01 +4.7089e-01 +6.9124e-01 -8.8266e-01
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.054684990e+02 +6.054684990e+02 +7.376484990e+02 +7.376484990e+02 -6.2747e-01 +2.6990e-01 -4.9395e-01 -6.0069e-01 -4.8317e-01 -7.7928e-01 +7.5780e-01 +2.2583e-01 +9.5382e-02 +5.1300e-01 -8.0524e-01 -4.4960e-01 +3.4211e-01 +6.4157e-01 +4.3744e-01 +6.7626e-01 -1.2236e-01 +2.1017e-01 -1.1507e-01 -8.7168e-01
% function evaluation | noise-free fitness - Fopt (-4.174000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.015525376e+02 +8.015525376e+02 +7.598125376e+02 +7.598125376e+02 +1.2972e-02 -2.5514e-02 +2.1881e-01 +4.2308e-02 +1.2198e-01 +3.6046e-01 -8.6123e-01 +2.2431e-01 -8.0606e-01 +3.1963e-02 -3.3313e-01 +6.1083e-01 -5.6987e-01 +2.4413e-01 +4.4335e-01 -1.7536e-01 -2.6803e-01 -1.9456e-01 -3.0191e-01 -3.9046e-01
18 +6.189240089e+02 +6.189240089e+02 +5.771840089e+02 +5.771840089e+02 -2.4077e-01 +4.3766e-04 -1.7733e-02 +2.0016e-01 +1.9082e-01 -1.8214e-01 -8.1045e-02 -4.2156e-02 +1.9780e-01 +4.2488e-01 +2.3482e-01 +5.6833e-01 +1.2122e-01 -5.7068e-01 +1.7008e-01 +2.4255e-01 -4.2681e-01 +8.0506e-01 -9.9076e-02 +4.3544e-01
% function evaluation | noise-free fitness - Fopt (-4.948600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.005657641e+02 +8.005657641e+02 +3.057057641e+02 +3.057057641e+02 +7.7023e-02 -4.5591e-01 -2.2459e-01 -2.1168e-01 -5.8787e-01 -5.5125e-01 +2.7534e-01 +1.1285e-01 +9.3137e-02 -6.9186e-01 +1.1610e-01 -6.1487e-01 -2.7780e-01 +8.9146e-02 -5.4585e-02 +9.5255e-01 -5.2256e-01 +1.6252e-01 -4.0940e-01 -1.6727e-01
13 +6.179386664e+02 +6.179386664e+02 +1.230786664e+02 +1.230786664e+02 -3.7384e-01 -2.5330e-02 -2.2881e-01 -5.8537e-01 -1.7695e-01 +4.6837e-01 +4.3917e-01 +3.4201e-02 +3.4146e-01 -1.0658e-01 -1.3797e-01 +2.9791e-01 -5.6889e-01 -2.8441e-01 +6.7071e-01 +8.0919e-02 +6.2744e-02 +7.7838e-02 +2.1475e-01 -8.8361e-02
% function evaluation | noise-free fitness - Fopt (3.484000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.555280688e+02 +7.555280688e+02 +1.103928069e+03 +1.103928069e+03 -8.3425e-01 +2.9712e-02 +6.0643e-01 +5.3904e-01 -2.3827e-01 -8.0498e-03 -8.6522e-01 -5.2275e-01 -3.1197e-01 -1.0102e-01 +1.1367e-01 -1.7323e-01 -6.1784e-01 -4.2507e-02 +2.2573e-01 +1.6960e-01 +4.9765e-02 -6.3782e-01 -6.4888e-01 +2.3186e-01
4 +5.849486312e+02 +5.849486312e+02 +9.333486312e+02 +9.333486312e+02 +1.3083e-01 -2.1386e-01 +3.5379e-01 -8.7541e-02 +6.0573e-01 -1.6447e-01 -1.6516e-01 +6.6015e-01 -2.2839e-01 +1.0957e-01 -1.4127e-01 +7.2175e-01 -8.1952e-01 +4.6209e-01 +1.7664e-01 +1.5853e-01 +1.0545e-01 +2.1987e-01 +1.4997e-01 -9.7431e-02
% function evaluation | noise-free fitness - Fopt (3.770000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.454806034e+02 +6.454806034e+02 +6.492506034e+02 +6.492506034e+02 +1.8296e-01 -4.1832e-01 -2.7100e-01 -2.2597e-01 +8.6968e-01 -2.3635e-01 -6.4108e-01 -3.3899e-01 +6.0912e-02 +4.5226e-02 +5.7721e-01 +3.2686e-01 -2.0588e-01 -3.1032e-01 -3.8887e-01 -6.4756e-01 -2.4087e-01 -8.5002e-02 +1.5932e-02 +3.2664e-01
6 +6.236441279e+02 +6.236441279e+02 +6.274141279e+02 +6.274141279e+02 -8.7463e-02 -1.5920e-01 +2.3710e-01 +2.0859e-01 +6.4135e-01 -7.0961e-01 -3.4040e-01 +3.9802e-01 -1.6811e-01 +9.5699e-02 -4.4648e-02 +4.4576e-02 -5.5307e-01 -6.8858e-01 -1.7416e-01 +9.9337e-02 +4.1039e-01 +3.1908e-01 +1.5957e-01 -3.6928e-01
% function evaluation | noise-free fitness - Fopt (3.770000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.560010050e+02 +5.560010050e+02 +5.937010050e+02 +5.937010050e+02 +3.1808e-01 +5.9151e-02 -2.2559e-02 +2.1080e-01 +2.6086e-01 +8.3974e-01 +1.4012e-01 +8.0731e-02 +4.1209e-01 +1.7585e-01 -1.0974e-01 -5.4579e-02 +3.7114e-01 +9.7865e-02 +1.5399e-01 +3.9101e-01 +1.3782e-01 -1.3184e-01 +1.0586e-01 +3.5325e-01
% function evaluation | noise-free fitness - Fopt (6.956900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.258405799e+02 +6.258405799e+02 +1.321530580e+03 +1.321530580e+03 -4.6387e-01 +5.5665e-01 +4.3906e-01 -6.5587e-01 -5.1849e-01 +2.2395e-01 -2.6479e-01 +2.4166e-01 +2.5847e-01 +1.3047e-01 -3.1050e-01 +5.6186e-01 -4.4316e-02 +2.6628e-01 +5.8180e-01 -4.4988e-01 -1.4609e-01 -1.1649e-01 -3.8115e-01 -8.6805e-01
% function evaluation | noise-free fitness - Fopt (-1.180300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
